Time,Value
0.0,0.01
49.0,0.01
98.0,0.011
147.0,0.01
196.0,0.011
245.0,0.011
294.0,0.011
343.0,0.012
392.0,0.011
441.0,0.012
490.0,0.012
539.0,0.012
588.0,0.012
637.0,0.012
686.0,0.011
735.0,0.012
784.0,0.012
833.0,0.012
882.0,0.013
931.0,0.013
980.0,0.012
1029.0,0.012
1078.0,0.012
1127.0,0.013
1176.0,0.012
1225.0,0.013
1274.0,0.012
1323.0,0.012
1372.0,0.013
1421.0,0.012
1470.0,0.012
1519.0,0.012
1568.0,0.012
1617.0,0.012
1666.0,0.013
1715.0,0.013
1764.0,0.013
1813.0,0.012
1862.0,0.013
1911.0,0.012
1960.0,0.012
2009.0,0.013
2058.0,0.012
2107.0,0.012
2156.0,0.013
2205.0,0.013
2254.0,0.012
2303.0,0.013
2352.0,0.012
2401.0,0.012
2450.0,0.012
2499.0,0.013
2548.0,0.013
2597.0,0.013
2646.0,0.012
2695.0,0.013
2744.0,0.013
2793.0,0.013
2842.0,0.013
2891.0,0.013
2940.0,0.013
2989.0,0.013
3038.0,0.012
3087.0,0.013
3136.0,0.013
3185.0,0.013
3234.0,0.013
3283.0,0.014
3332.0,0.014
3381.0,0.013
3430.0,0.013
3479.0,0.013
3528.0,0.013
3577.0,0.014
3626.0,0.014
3675.0,0.014
3724.0,0.014
3773.0,0.013
3822.0,0.014
3871.0,0.014
3920.0,0.014
3969.0,0.013
4018.0,0.014
4067.0,0.014
4116.0,0.015
4165.0,0.014
4214.0,0.015
4263.0,0.015
4312.0,0.015
4361.0,0.015
4410.0,0.015
4459.0,0.015
4508.0,0.014
4557.0,0.015
4606.0,0.015
4655.0,0.014
4704.0,0.015
4753.0,0.015
4802.0,0.016
4851.0,0.015
4900.0,0.015
4949.0,0.015
4998.0,0.016
5047.0,0.015
5096.0,0.016
5145.0,0.016
5194.0,0.016
5243.0,0.016
5292.0,0.016
5341.0,0.015
5390.0,0.015
5439.0,0.016
5488.0,0.015
5537.0,0.017
5586.0,0.016
5635.0,0.016
5684.0,0.017
5733.0,0.017
5782.0,0.017
5831.0,0.017
5880.0,0.017
5929.0,0.018
5978.0,0.017
6027.0,0.017
6076.0,0.017
6125.0,0.017
6174.0,0.018
6223.0,0.018
6272.0,0.018
6321.0,0.018
6370.0,0.017
6419.0,0.019
6468.0,0.018
6517.0,0.018
6566.0,0.018
6615.0,0.018
6664.0,0.019
6713.0,0.018
6762.0,0.019
6811.0,0.018
6860.0,0.018
6909.0,0.018
6958.0,0.018
7007.0,0.018
7056.0,0.018
7105.0,0.019
7154.0,0.019
7203.0,0.018
7252.0,0.019
7301.0,0.019
7350.0,0.019
7399.0,0.02
7448.0,0.019
7497.0,0.02
7546.0,0.02
7595.0,0.019
7644.0,0.019
7693.0,0.02
7742.0,0.02
7791.0,0.021
7840.0,0.02
7889.0,0.02
7938.0,0.021
7987.0,0.02
8036.0,0.02
8085.0,0.021
8134.0,0.02
8183.0,0.02
8232.0,0.021
8281.0,0.021
8330.0,0.021
8379.0,0.021
8428.0,0.021
8477.0,0.02
8526.0,0.021
8575.0,0.022
8624.0,0.022
8673.0,0.022
8722.0,0.021
8771.0,0.021
8820.0,0.022
8869.0,0.021
8918.0,0.021
8967.0,0.022
9016.0,0.022
9065.0,0.022
9114.0,0.022
9163.0,0.022
9212.0,0.022
9261.0,0.022
9310.0,0.023
9359.0,0.022
9408.0,0.023
9457.0,0.022
9506.0,0.022
9555.0,0.023
9604.0,0.023
9653.0,0.022
9702.0,0.023
9751.0,0.023
9800.0,0.023
9849.0,0.024
9898.0,0.023
9947.0,0.024
9996.0,0.024
10045.0,0.023
10094.0,0.024
10143.0,0.023
10192.0,0.024
10241.0,0.024
10290.0,0.024
10339.0,0.024
10388.0,0.024
10437.0,0.024
10486.0,0.024
10535.0,0.024
10584.0,0.025
10633.0,0.025
10682.0,0.025
10731.0,0.025
10780.0,0.024
10829.0,0.025
10878.0,0.025
10927.0,0.025
10976.0,0.025
11025.0,0.025
11074.0,0.025
11123.0,0.026
11172.0,0.025
11221.0,0.025
11270.0,0.026
11319.0,0.026
11368.0,0.026
11417.0,0.026
11466.0,0.027
11515.0,0.027
11564.0,0.027
11613.0,0.026
11662.0,0.027
11711.0,0.027
11760.0,0.027
11809.0,0.027
11858.0,0.026
11907.0,0.026
11956.0,0.027
12005.0,0.027
12054.0,0.027
12103.0,0.028
12152.0,0.028
12201.0,0.027
12250.0,0.028
12299.0,0.027
12348.0,0.028
12397.0,0.028
12446.0,0.028
12495.0,0.028
12544.0,0.029
12593.0,0.029
12642.0,0.029
12691.0,0.028
12740.0,0.028
12789.0,0.028
12838.0,0.028
12887.0,0.029
12936.0,0.028
12985.0,0.029
13034.0,0.029
13083.0,0.03
13132.0,0.029
13181.0,0.03
13230.0,0.029
13279.0,0.03
13328.0,0.03
13377.0,0.03
13426.0,0.03
13475.0,0.03
13524.0,0.03
13573.0,0.029
13622.0,0.03
13671.0,0.031
13720.0,0.03
13769.0,0.031
13818.0,0.031
13867.0,0.032
13916.0,0.03
13965.0,0.032
14014.0,0.031
14063.0,0.031
14112.0,0.032
14161.0,0.032
14210.0,0.031
14259.0,0.032
14308.0,0.032
14357.0,0.032
14406.0,0.032
14455.0,0.032
14504.0,0.032
14553.0,0.032
14602.0,0.032
14651.0,0.032
14700.0,0.033
14749.0,0.033
14798.0,0.033
14847.0,0.033
14896.0,0.033
14945.0,0.034
14994.0,0.033
15043.0,0.033
15092.0,0.033
15141.0,0.034
15190.0,0.034
15239.0,0.034
15288.0,0.034
15337.0,0.034
15386.0,0.034
15435.0,0.034
15484.0,0.034
15533.0,0.035
15582.0,0.034
15631.0,0.035
15680.0,0.035
15729.0,0.035
15778.0,0.035
15827.0,0.035
15876.0,0.035
15925.0,0.036
15974.0,0.036
16023.0,0.035
16072.0,0.035
16121.0,0.035
16170.0,0.036
16219.0,0.035
16268.0,0.036
16317.0,0.036
16366.0,0.036
16415.0,0.036
16464.0,0.036
16513.0,0.037
16562.0,0.037
16611.0,0.037
16660.0,0.037
16709.0,0.037
16758.0,0.038
16807.0,0.038
16856.0,0.037
16905.0,0.037
16954.0,0.038
17003.0,0.037
17052.0,0.037
17101.0,0.038
17150.0,0.038
17199.0,0.038
17248.0,0.038
17297.0,0.038
17346.0,0.039
17395.0,0.038
17444.0,0.039
17493.0,0.038
17542.0,0.039
17591.0,0.04
17640.0,0.039
17689.0,0.039
17738.0,0.039
17787.0,0.04
17836.0,0.039
17885.0,0.04
17934.0,0.041
17983.0,0.039
