Batch	mads_t023.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/21/2010	Date Collected	4/21/2010	Date Collected	4/21/2010	Date Collected	4/21/2010
Time Collected	12:55:39PM	Time Collected	12:55:46PM	Time Collected	12:55:53PM	Time Collected	3:25:45PM
							
Substrate Conc.	2.0627 mmol/l	Substrate Conc.	4.1254 mmol/l	Substrate Conc.	6.1880 mmol/l	Substrate Conc.	8.2507 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.001	0.000	0.019	0.000	0.013	0.000	-0.001
49.000	0.005	49.000	0.023	49.000	0.017	49.000	0.001
98.000	0.010	98.000	0.028	98.000	0.021	98.000	0.004
147.000	0.014	147.000	0.033	147.000	0.025	147.000	0.007
196.000	0.017	196.000	0.037	196.000	0.029	196.000	0.011
245.000	0.022	245.000	0.041	245.000	0.034	245.000	0.014
294.000	0.025	294.000	0.045	294.000	0.037	294.000	0.017
343.000	0.029	343.000	0.050	343.000	0.042	343.000	0.020
392.000	0.032	392.000	0.053	392.000	0.045	392.000	0.023
441.000	0.036	441.000	0.058	441.000	0.049	441.000	0.026
490.000	0.040	490.000	0.061	490.000	0.053	490.000	0.030
539.000	0.044	539.000	0.065	539.000	0.057	539.000	0.033
588.000	0.047	588.000	0.069	588.000	0.061	588.000	0.035
637.000	0.051	637.000	0.073	637.000	0.064	637.000	0.038
686.000	0.054	686.000	0.077	686.000	0.067	686.000	0.041
735.000	0.058	735.000	0.080	735.000	0.071	735.000	0.044
784.000	0.060	784.000	0.084	784.000	0.074	784.000	0.047
833.000	0.063	833.000	0.087	833.000	0.077	833.000	0.049
882.000	0.067	882.000	0.090	882.000	0.081	882.000	0.053
931.000	0.070	931.000	0.094	931.000	0.084	931.000	0.055
980.000	0.072	980.000	0.097	980.000	0.088	980.000	0.059
1029.000	0.075	1029.000	0.100	1029.000	0.091	1029.000	0.061
1078.000	0.078	1078.000	0.103	1078.000	0.094	1078.000	0.064
1127.000	0.080	1127.000	0.107	1127.000	0.097	1127.000	0.066
1176.000	0.083	1176.000	0.109	1176.000	0.100	1176.000	0.068
1225.000	0.085	1225.000	0.112	1225.000	0.103	1225.000	0.071
1274.000	0.088	1274.000	0.115	1274.000	0.106	1274.000	0.075
1323.000	0.090	1323.000	0.117	1323.000	0.109	1323.000	0.077
1372.000	0.093	1372.000	0.121	1372.000	0.112	1372.000	0.079
1421.000	0.096	1421.000	0.124	1421.000	0.115	1421.000	0.081
1470.000	0.098	1470.000	0.127	1470.000	0.117	1470.000	0.084
1519.000	0.100	1519.000	0.130	1519.000	0.120	1519.000	0.087
1568.000	0.102	1568.000	0.132	1568.000	0.123	1568.000	0.089
1617.000	0.104	1617.000	0.134	1617.000	0.126	1617.000	0.092
1666.000	0.107	1666.000	0.138	1666.000	0.128	1666.000	0.094
1715.000	0.109	1715.000	0.141	1715.000	0.132	1715.000	0.096
1764.000	0.112	1764.000	0.143	1764.000	0.135	1764.000	0.098
1813.000	0.114	1813.000	0.145	1813.000	0.137	1813.000	0.101
1862.000	0.116	1862.000	0.148	1862.000	0.140	1862.000	0.103
1911.000	0.118	1911.000	0.150	1911.000	0.142	1911.000	0.105
1960.000	0.121	1960.000	0.153	1960.000	0.145	1960.000	0.108
2009.000	0.123	2009.000	0.156	2009.000	0.147	2009.000	0.110
2058.000	0.124	2058.000	0.158	2058.000	0.150	2058.000	0.112
2107.000	0.127	2107.000	0.160	2107.000	0.152	2107.000	0.115
2156.000	0.129	2156.000	0.164	2156.000	0.154	2156.000	0.117
2205.000	0.130	2205.000	0.165	2205.000	0.157	2205.000	0.120
2254.000	0.133	2254.000	0.168	2254.000	0.159	2254.000	0.121
2303.000	0.134	2303.000	0.170	2303.000	0.163	2303.000	0.124
2352.000	0.136	2352.000	0.173	2352.000	0.165	2352.000	0.126
2401.000	0.138	2401.000	0.175	2401.000	0.167	2401.000	0.129
2450.000	0.140	2450.000	0.177	2450.000	0.170	2450.000	0.130
2499.000	0.141	2499.000	0.180	2499.000	0.172	2499.000	0.132
2548.000	0.143	2548.000	0.181	2548.000	0.174	2548.000	0.134
2597.000	0.145	2597.000	0.183	2597.000	0.176	2597.000	0.136
2646.000	0.147	2646.000	0.186	2646.000	0.178	2646.000	0.139
2695.000	0.149	2695.000	0.188	2695.000	0.180	2695.000	0.141
