Batch	mads_t003.rre												
Evolution 600	161008												
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005	Sample	Sample006	Sample	Sample007
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010
Time Collected	1:56:29PM	Time Collected	1:56:34PM	Time Collected	1:56:41PM	Time Collected	1:56:47PM	Time Collected	1:56:53PM	Time Collected	1:57:00PM	Time Collected	5:01:55PM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.014	0.000	0.033	0.000	0.050	0.000	0.061	0.000	0.078	0.000	0.102
49.000	0.001	49.000	0.012	49.000	0.032	49.000	0.050	49.000	0.061	49.000	0.079	49.000	0.101
98.000	0.001	98.000	0.013	98.000	0.032	98.000	0.050	98.000	0.062	98.000	0.078	98.000	0.101
147.000	0.001	147.000	0.013	147.000	0.032	147.000	0.051	147.000	0.062	147.000	0.078	147.000	0.102
196.000	0.001	196.000	0.013	196.000	0.033	196.000	0.051	196.000	0.062	196.000	0.079	196.000	0.102
245.000	0.000	245.000	0.013	245.000	0.032	245.000	0.051	245.000	0.062	245.000	0.079	245.000	0.102
294.000	0.000	294.000	0.014	294.000	0.032	294.000	0.050	294.000	0.062	294.000	0.079	294.000	0.101
343.000	0.001	343.000	0.013	343.000	0.032	343.000	0.051	343.000	0.062	343.000	0.078	343.000	0.102
392.000	0.001	392.000	0.014	392.000	0.032	392.000	0.051	392.000	0.062	392.000	0.079	392.000	0.102
441.000	0.001	441.000	0.013	441.000	0.033	441.000	0.051	441.000	0.062	441.000	0.078	441.000	0.102
490.000	0.001	490.000	0.013	490.000	0.031	490.000	0.050	490.000	0.062	490.000	0.078	490.000	0.102
539.000	0.002	539.000	0.013	539.000	0.032	539.000	0.050	539.000	0.062	539.000	0.079	539.000	0.102
588.000	0.002	588.000	0.013	588.000	0.032	588.000	0.051	588.000	0.062	588.000	0.078	588.000	0.102
637.000	0.002	637.000	0.014	637.000	0.031	637.000	0.050	637.000	0.062	637.000	0.079	637.000	0.102
686.000	0.002	686.000	0.013	686.000	0.032	686.000	0.051	686.000	0.062	686.000	0.079	686.000	0.101
735.000	0.001	735.000	0.013	735.000	0.032	735.000	0.052	735.000	0.062	735.000	0.079	735.000	0.102
784.000	0.002	784.000	0.014	784.000	0.032	784.000	0.051	784.000	0.063	784.000	0.079	784.000	0.101
833.000	0.002	833.000	0.014	833.000	0.032	833.000	0.051	833.000	0.062	833.000	0.079	833.000	0.102
882.000	0.002	882.000	0.014	882.000	0.033	882.000	0.051	882.000	0.062	882.000	0.079	882.000	0.102
931.000	0.002	931.000	0.014	931.000	0.032	931.000	0.051	931.000	0.062	931.000	0.079	931.000	0.102
980.000	0.002	980.000	0.014	980.000	0.033	980.000	0.051	980.000	0.063	980.000	0.079	980.000	0.102
1029.000	0.002	1029.000	0.014	1029.000	0.032	1029.000	0.052	1029.000	0.062	1029.000	0.079	1029.000	0.101
1078.000	0.002	1078.000	0.014	1078.000	0.032	1078.000	0.051	1078.000	0.062	1078.000	0.079	1078.000	0.102
1127.000	0.002	1127.000	0.014	1127.000	0.032	1127.000	0.051	1127.000	0.062	1127.000	0.078	1127.000	0.102
1176.000	0.002	1176.000	0.014	1176.000	0.033	1176.000	0.051	1176.000	0.063	1176.000	0.079	1176.000	0.102
1225.000	0.002	1225.000	0.014	1225.000	0.033	1225.000	0.051	1225.000	0.062	1225.000	0.079	1225.000	0.102
1274.000	0.002	1274.000	0.014	1274.000	0.033	1274.000	0.052	1274.000	0.063	1274.000	0.079	1274.000	0.102
1323.000	0.002	1323.000	0.014	1323.000	0.033	1323.000	0.052	1323.000	0.063	1323.000	0.079	1323.000	0.102
1372.000	0.002	1372.000	0.014	1372.000	0.033	1372.000	0.051	1372.000	0.062	1372.000	0.080	1372.000	0.102
1421.000	0.002	1421.000	0.015	1421.000	0.033	1421.000	0.052	1421.000	0.062	1421.000	0.079	1421.000	0.103
1470.000	0.002	1470.000	0.015	1470.000	0.033	1470.000	0.052	1470.000	0.062	1470.000	0.079	1470.000	0.102
1519.000	0.003	1519.000	0.014	1519.000	0.033	1519.000	0.052	1519.000	0.063	1519.000	0.080	1519.000	0.102
1568.000	0.003	1568.000	0.015	1568.000	0.032	1568.000	0.052	1568.000	0.063	1568.000	0.079	1568.000	0.102
1617.000	0.002	1617.000	0.014	1617.000	0.033	1617.000	0.052	1617.000	0.063	1617.000	0.079	1617.000	0.102
1666.000	0.003	1666.000	0.014	1666.000	0.033	1666.000	0.052	1666.000	0.062	1666.000	0.079	1666.000	0.102
1715.000	0.003	1715.000	0.015	1715.000	0.033	1715.000	0.052	1715.000	0.063	1715.000	0.079	1715.000	0.102
1764.000	0.003	1764.000	0.015	1764.000	0.033	1764.000	0.053	1764.000	0.063	1764.000	0.080	1764.000	0.102
1813.000	0.003	1813.000	0.015	1813.000	0.033	1813.000	0.052	1813.000	0.063	1813.000	0.080	1813.000	0.102
1862.000	0.003	1862.000	0.015	1862.000	0.033	1862.000	0.053	1862.000	0.062	1862.000	0.079	1862.000	0.102
1911.000	0.003	1911.000	0.015	1911.000	0.034	1911.000	0.052	1911.000	0.063	1911.000	0.080	1911.000	0.103
1960.000	0.003	1960.000	0.016	1960.000	0.033	1960.000	0.052	1960.000	0.063	1960.000	0.079	1960.000	0.102
2009.000	0.003	2009.000	0.015	2009.000	0.033	2009.000	0.052	2009.000	0.063	2009.000	0.080	2009.000	0.103
2058.000	0.003	2058.000	0.016	2058.000	0.033	2058.000	0.052	2058.000	0.063	2058.000	0.079	2058.000	0.102
2107.000	0.003	2107.000	0.015	2107.000	0.034	2107.000	0.053	2107.000	0.062	2107.000	0.080	2107.000	0.103
2156.000	0.003	2156.000	0.015	2156.000	0.033	2156.000	0.053	2156.000	0.063	2156.000	0.080	2156.000	0.102
2205.000	0.003	2205.000	0.015	2205.000	0.033	2205.000	0.053	2205.000	0.063	2205.000	0.079	2205.000	0.102
2254.000	0.003	2254.000	0.015	2254.000	0.033	2254.000	0.053	2254.000	0.063	2254.000	0.079	2254.000	0.103
2303.000	0.004	2303.000	0.015	2303.000	0.034	2303.000	0.052	2303.000	0.063	2303.000	0.080	2303.000	0.103
2352.000	0.004	2352.000	0.015	2352.000	0.033	2352.000	0.053	2352.000	0.063	2352.000	0.080	2352.000	0.102
2401.000	0.004	2401.000	0.015	2401.000	0.034	2401.000	0.053	2401.000	0.063	2401.000	0.080	2401.000	0.103
2450.000	0.004	2450.000	0.016	2450.000	0.034	2450.000	0.053	2450.000	0.063	2450.000	0.080	2450.000	0.103
2499.000	0.004	2499.000	0.016	2499.000	0.033	2499.000	0.053	2499.000	0.063	2499.000	0.080	2499.000	0.102
2548.000	0.004	2548.000	0.016	2548.000	0.033	2548.000	0.053	2548.000	0.063	2548.000	0.080	2548.000	0.103
2597.000	0.004	2597.000	0.015	2597.000	0.033	2597.000	0.053	2597.000	0.063	2597.000	0.079	2597.000	0.103
2646.000	0.004	2646.000	0.016	2646.000	0.034	2646.000	0.053	2646.000	0.063	2646.000	0.080	2646.000	0.103
2695.000	0.005	2695.000	0.016	2695.000	0.033	2695.000	0.053	2695.000	0.063	2695.000	0.080	2695.000	0.103
2744.000	0.004	2744.000	0.016	2744.000	0.034	2744.000	0.053	2744.000	0.063	2744.000	0.080	2744.000	0.103
2793.000	0.005	2793.000	0.016	2793.000	0.034	2793.000	0.053	2793.000	0.064	2793.000	0.080	2793.000	0.103
2842.000	0.004	2842.000	0.016	2842.000	0.033	2842.000	0.053	2842.000	0.063	2842.000	0.080	2842.000	0.103
2891.000	0.005	2891.000	0.016	2891.000	0.034	2891.000	0.053	2891.000	0.063	2891.000	0.080	2891.000	0.103
2940.000	0.005	2940.000	0.015	2940.000	0.034	2940.000	0.053	2940.000	0.064	2940.000	0.080	2940.000	0.103
2989.000	0.005	2989.000	0.016	2989.000	0.034	2989.000	0.053	2989.000	0.064	2989.000	0.080	2989.000	0.103
3038.000	0.005	3038.000	0.016	3038.000	0.034	3038.000	0.053	3038.000	0.064	3038.000	0.080	3038.000	0.103
