Batch	rate064.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	6/7/2010	Date Collected	6/7/2010	Date Collected	6/7/2010	Date Collected	6/7/2010
Time Collected	6:42:28PM	Time Collected	6:50:25PM	Time Collected	6:42:41PM	Time Collected	6:42:48PM
							
Substrate Conc.	7.3100 mmol/L	Substrate Conc.	3.6550 mmol/L	Substrate Conc.	1.8275 mmol/L	Substrate Conc.	0.3655 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.005	0.000	-0.038	0.000	-0.050	0.000	-0.069
28.000	0.016	28.000	-0.030	28.000	-0.043	28.000	-0.065
56.000	0.014	56.000	-0.035	56.000	-0.049	56.000	-0.072
84.000	0.009	84.000	-0.039	84.000	-0.051	84.000	-0.074
112.000	0.008	112.000	-0.039	112.000	-0.051	112.000	-0.074
140.000	0.010	140.000	-0.038	140.000	-0.050	140.000	-0.073
168.000	0.010	168.000	-0.038	168.000	-0.049	168.000	-0.073
196.000	0.010	196.000	-0.038	196.000	-0.050	196.000	-0.073
224.000	0.010	224.000	-0.038	224.000	-0.050	224.000	-0.074
252.000	0.010	252.000	-0.038	252.000	-0.050	252.000	-0.074
280.000	0.010	280.000	-0.039	280.000	-0.051	280.000	-0.074
308.000	0.010	308.000	-0.039	308.000	-0.051	308.000	-0.076
336.000	0.009	336.000	-0.039	336.000	-0.051	336.000	-0.076
364.000	0.010	364.000	-0.038	364.000	-0.051	364.000	-0.076
392.000	0.010	392.000	-0.039	392.000	-0.051	392.000	-0.076
420.000	0.011	420.000	-0.039	420.000	-0.051	420.000	-0.076
448.000	0.011	448.000	-0.038				
							
							
							
