Batch	mads_t002.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010
Time Collected	6:43:40PM	Time Collected	6:43:47PM	Time Collected	6:43:54PM	Time Collected	6:44:01PM
							
Substrate Conc.	1.5199 mmol/l	Substrate Conc.	3.0397 mmol/l	Substrate Conc.	4.5596 mmol/l		
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.004	0.000	0.052	0.000	0.012
49.000	0.000	49.000	0.004	49.000	0.051	49.000	0.012
98.000	0.000	98.000	0.004	98.000	0.052	98.000	0.011
147.000	-0.001	147.000	0.004	147.000	0.052	147.000	0.012
196.000	0.000	196.000	0.003	196.000	0.053	196.000	0.013
245.000	0.000	245.000	0.004	245.000	0.052	245.000	0.013
294.000	0.000	294.000	0.003	294.000	0.052	294.000	0.014
343.000	0.001	343.000	0.004	343.000	0.052	343.000	0.012
392.000	0.000	392.000	0.004	392.000	0.053	392.000	0.014
441.000	0.000	441.000	0.005	441.000	0.052	441.000	0.013
490.000	0.000	490.000	0.005	490.000	0.053	490.000	0.013
539.000	0.000	539.000	0.005	539.000	0.052	539.000	0.014
588.000	0.000	588.000	0.005	588.000	0.052	588.000	0.013
637.000	0.001	637.000	0.005	637.000	0.052	637.000	0.014
686.000	0.000	686.000	0.005	686.000	0.052	686.000	0.014
735.000	0.000	735.000	0.006	735.000	0.052	735.000	0.014
784.000	0.000	784.000	0.005	784.000	0.052	784.000	0.014
833.000	0.001	833.000	0.005	833.000	0.053	833.000	0.015
882.000	0.000	882.000	0.006	882.000	0.052	882.000	0.015
931.000	0.001	931.000	0.005	931.000	0.053	931.000	0.015
980.000	0.000	980.000	0.005	980.000	0.053	980.000	0.015
1029.000	0.000	1029.000	0.006	1029.000	0.053	1029.000	0.015
1078.000	0.001	1078.000	0.006	1078.000	0.053	1078.000	0.015
1127.000	0.001	1127.000	0.006	1127.000	0.053	1127.000	0.016
1176.000	0.001	1176.000	0.006	1176.000	0.053	1176.000	0.016
1225.000	0.001	1225.000	0.006	1225.000	0.054	1225.000	0.017
1274.000	0.001	1274.000	0.006	1274.000	0.053	1274.000	0.017
1323.000	0.001	1323.000	0.006	1323.000	0.053	1323.000	0.017
1372.000	0.001	1372.000	0.007	1372.000	0.054	1372.000	0.017
1421.000	0.002	1421.000	0.007	1421.000	0.053	1421.000	0.017
1470.000	0.001	1470.000	0.006	1470.000	0.053	1470.000	0.017
1519.000	0.002	1519.000	0.006	1519.000	0.053	1519.000	0.017
1568.000	0.002	1568.000	0.007	1568.000	0.054	1568.000	0.018
1617.000	0.001	1617.000	0.007	1617.000	0.054	1617.000	0.017
1666.000	0.002	1666.000	0.007	1666.000	0.054	1666.000	0.018
1715.000	0.002	1715.000	0.007	1715.000	0.054	1715.000	0.018
1764.000	0.002	1764.000	0.008	1764.000	0.054	1764.000	0.018
1813.000	0.001	1813.000	0.007	1813.000	0.054	1813.000	0.019
1862.000	0.002	1862.000	0.008	1862.000	0.054	1862.000	0.019
1911.000	0.001	1911.000	0.008	1911.000	0.054	1911.000	0.019
1960.000	0.002	1960.000	0.008	1960.000	0.055	1960.000	0.019
2009.000	0.002	2009.000	0.008	2009.000	0.054	2009.000	0.019
2058.000	0.002	2058.000	0.008	2058.000	0.054	2058.000	0.019
2107.000	0.002	2107.000	0.008	2107.000	0.055	2107.000	0.020
2156.000	0.001	2156.000	0.009	2156.000	0.055	2156.000	0.020
2205.000	0.002	2205.000	0.008	2205.000	0.055	2205.000	0.020
2254.000	0.002	2254.000	0.009	2254.000	0.055	2254.000	0.020
2303.000	0.002	2303.000	0.009	2303.000	0.055	2303.000	0.020
2352.000	0.002	2352.000	0.009	2352.000	0.055	2352.000	0.021
2401.000	0.003	2401.000	0.009	2401.000	0.055	2401.000	0.021
2450.000	0.002	2450.000	0.009	2450.000	0.055	2450.000	0.021
2499.000	0.002	2499.000	0.010	2499.000	0.055	2499.000	0.022
2548.000	0.002	2548.000	0.010	2548.000	0.055	2548.000	0.022
2597.000	0.003	2597.000	0.009	2597.000	0.056	2597.000	0.021
2646.000	0.003	2646.000	0.010	2646.000	0.055	2646.000	0.021
2695.000	0.003	2695.000	0.010	2695.000	0.055	2695.000	0.022
