Batch	mads_t004.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/9/2010	Date Collected	4/9/2010	Date Collected	4/9/2010	Date Collected	4/9/2010
Time Collected	7:01:30PM	Time Collected	7:01:37PM	Time Collected	7:01:44PM	Time Collected	7:01:51PM
							
Substrate Conc.	1.6140 	Substrate Conc.	3.2279 	Substrate Conc.	4.8419 	Substrate Conc.	6.4558 
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.006	0.000	0.019	0.000	0.019
49.000	0.000	49.000	0.006	49.000	0.020	49.000	0.018
98.000	0.001	98.000	0.006	98.000	0.021	98.000	0.018
147.000	0.000	147.000	0.005	147.000	0.021	147.000	0.018
196.000	0.000	196.000	0.006	196.000	0.022	196.000	0.018
245.000	0.000	245.000	0.005	245.000	0.022	245.000	0.018
294.000	0.000	294.000	0.006	294.000	0.023	294.000	0.018
343.000	0.000	343.000	0.005	343.000	0.023	343.000	0.018
392.000	0.001	392.000	0.005	392.000	0.024	392.000	0.017
441.000	0.000	441.000	0.005	441.000	0.024	441.000	0.018
490.000	0.000	490.000	0.005	490.000	0.024	490.000	0.018
539.000	0.000	539.000	0.005	539.000	0.025	539.000	0.018
588.000	0.000	588.000	0.005	588.000	0.025	588.000	0.018
637.000	0.000	637.000	0.005	637.000	0.025	637.000	0.019
686.000	0.000	686.000	0.005	686.000	0.025	686.000	0.018
735.000	0.000	735.000	0.004	735.000	0.026	735.000	0.019
784.000	0.000	784.000	0.004	784.000	0.026	784.000	0.019
833.000	0.000	833.000	0.003	833.000	0.027	833.000	0.018
882.000	0.000	882.000	0.004	882.000	0.027	882.000	0.018
931.000	0.000	931.000	0.004	931.000	0.028	931.000	0.017
980.000	0.000	980.000	0.003	980.000	0.027	980.000	0.018
1029.000	0.000	1029.000	0.004	1029.000	0.028	1029.000	0.018
1078.000	0.000	1078.000	0.004	1078.000	0.028	1078.000	0.018
1127.000	0.001	1127.000	0.003	1127.000	0.028	1127.000	0.018
1176.000	0.000	1176.000	0.003	1176.000	0.029	1176.000	0.018
1225.000	0.000	1225.000	0.004	1225.000	0.029	1225.000	0.018
1274.000	0.001	1274.000	0.004	1274.000	0.028	1274.000	0.018
1323.000	0.000	1323.000	0.003	1323.000	0.028	1323.000	0.018
1372.000	0.001	1372.000	0.004	1372.000	0.028	1372.000	0.018
1421.000	0.000	1421.000	0.004	1421.000	0.029	1421.000	0.019
1470.000	0.000	1470.000	0.003	1470.000	0.029	1470.000	0.019
1519.000	0.000	1519.000	0.003	1519.000	0.029	1519.000	0.019
1568.000	0.000	1568.000	0.003	1568.000	0.029	1568.000	0.020
1617.000	0.000	1617.000	0.003	1617.000	0.029	1617.000	0.018
1666.000	0.001	1666.000	0.003	1666.000	0.030	1666.000	0.018
1715.000	0.000	1715.000	0.003	1715.000	0.030	1715.000	0.019
1764.000	0.001	1764.000	0.003	1764.000	0.030	1764.000	0.018
1813.000	0.000	1813.000	0.002	1813.000	0.031	1813.000	0.020
1862.000	0.000	1862.000	0.003	1862.000	0.030	1862.000	0.020
1911.000	0.001	1911.000	0.002	1911.000	0.030	1911.000	0.019
1960.000	0.000	1960.000	0.002	1960.000	0.031	1960.000	0.020
2009.000	0.000	2009.000	0.002	2009.000	0.031	2009.000	0.020
2058.000	0.000	2058.000	0.002	2058.000	0.031	2058.000	0.020
2107.000	0.000	2107.000	0.001	2107.000	0.031	2107.000	0.019
2156.000	0.001	2156.000	0.002	2156.000	0.031	2156.000	0.020
2205.000	0.000	2205.000	0.001	2205.000	0.032	2205.000	0.020
2254.000	0.000	2254.000	0.001	2254.000	0.031	2254.000	0.020
2303.000	0.000	2303.000	0.002	2303.000	0.032	2303.000	0.020
2352.000	-0.001	2352.000	0.002	2352.000	0.031	2352.000	0.021
2401.000	0.000	2401.000	0.001	2401.000	0.031	2401.000	0.021
2450.000	0.000	2450.000	0.001	2450.000	0.032	2450.000	0.021
2499.000	0.000	2499.000	0.002	2499.000	0.032	2499.000	0.021
2548.000	-0.001	2548.000	0.002	2548.000	0.032	2548.000	0.021
2597.000	0.000	2597.000	0.002	2597.000	0.032	2597.000	0.021
2646.000	0.000	2646.000	0.001	2646.000	0.033	2646.000	0.021
2695.000	0.001	2695.000	0.001	2695.000	0.032	2695.000	0.021
