Batch	mads_t018.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/19/2010	Date Collected	4/19/2010	Date Collected	4/19/2010	Date Collected	4/19/2010
Time Collected	5:10:45PM	Time Collected	5:10:51PM	Time Collected	5:10:59PM	Time Collected	7:18:49PM
							
Substrate Conc.	1.8498 mmol/l	Substrate Conc.	3.6966 mmol/l	Substrate Conc.	5.5493 mmol/l	Substrate Conc.	7.3990 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	-0.001	0.000	0.013	0.000	0.012	0.000	0.028
49.000	0.001	49.000	0.013	49.000	0.012	49.000	0.028
98.000	0.000	98.000	0.014	98.000	0.011	98.000	0.029
147.000	0.000	147.000	0.014	147.000	0.012	147.000	0.029
196.000	0.001	196.000	0.014	196.000	0.012	196.000	0.028
245.000	0.000	245.000	0.014	245.000	0.012	245.000	0.029
294.000	0.001	294.000	0.014	294.000	0.013	294.000	0.029
343.000	0.001	343.000	0.013	343.000	0.013	343.000	0.029
392.000	0.000	392.000	0.014	392.000	0.013	392.000	0.029
441.000	0.001	441.000	0.013	441.000	0.013	441.000	0.029
490.000	0.000	490.000	0.015	490.000	0.014	490.000	0.029
539.000	0.000	539.000	0.013	539.000	0.014	539.000	0.030
588.000	0.001	588.000	0.014	588.000	0.014	588.000	0.030
637.000	0.000	637.000	0.014	637.000	0.014	637.000	0.030
686.000	0.001	686.000	0.014	686.000	0.014	686.000	0.031
735.000	0.000	735.000	0.014	735.000	0.014	735.000	0.031
784.000	0.001	784.000	0.014	784.000	0.014	784.000	0.031
833.000	0.001	833.000	0.015	833.000	0.014	833.000	0.030
882.000	0.000	882.000	0.014	882.000	0.015	882.000	0.031
931.000	0.001	931.000	0.015	931.000	0.015	931.000	0.031
980.000	0.001	980.000	0.015	980.000	0.016	980.000	0.032
1029.000	0.000	1029.000	0.015	1029.000	0.015	1029.000	0.032
1078.000	0.001	1078.000	0.015	1078.000	0.015	1078.000	0.031
1127.000	0.000	1127.000	0.015	1127.000	0.016	1127.000	0.032
1176.000	0.001	1176.000	0.015	1176.000	0.016	1176.000	0.032
1225.000	0.001	1225.000	0.015	1225.000	0.016	1225.000	0.032
1274.000	0.001	1274.000	0.016	1274.000	0.016	1274.000	0.033
1323.000	0.000	1323.000	0.015	1323.000	0.015	1323.000	0.032
1372.000	0.001	1372.000	0.016	1372.000	0.017	1372.000	0.032
1421.000	0.001	1421.000	0.015	1421.000	0.017	1421.000	0.033
1470.000	0.001	1470.000	0.015	1470.000	0.018	1470.000	0.033
1519.000	0.001	1519.000	0.016	1519.000	0.017	1519.000	0.033
1568.000	0.001	1568.000	0.016	1568.000	0.017	1568.000	0.033
1617.000	0.001	1617.000	0.016	1617.000	0.017	1617.000	0.034
1666.000	0.001	1666.000	0.016	1666.000	0.017	1666.000	0.034
1715.000	0.001	1715.000	0.016	1715.000	0.017	1715.000	0.034
1764.000	0.002	1764.000	0.016	1764.000	0.017	1764.000	0.035
1813.000	0.002	1813.000	0.017	1813.000	0.018	1813.000	0.034
1862.000	0.002	1862.000	0.017	1862.000	0.019	1862.000	0.035
1911.000	0.002	1911.000	0.017	1911.000	0.019	1911.000	0.035
1960.000	0.001	1960.000	0.017	1960.000	0.019	1960.000	0.036
2009.000	0.002	2009.000	0.017	2009.000	0.018	2009.000	0.036
2058.000	0.002	2058.000	0.017	2058.000	0.019	2058.000	0.035
2107.000	0.002	2107.000	0.017	2107.000	0.019	2107.000	0.036
2156.000	0.002	2156.000	0.016	2156.000	0.020	2156.000	0.036
2205.000	0.002	2205.000	0.018	2205.000	0.020	2205.000	0.036
2254.000	0.003	2254.000	0.018	2254.000	0.020	2254.000	0.036
2303.000	0.002	2303.000	0.018	2303.000	0.020	2303.000	0.036
2352.000	0.003	2352.000	0.018	2352.000	0.020	2352.000	0.037
2401.000	0.003	2401.000	0.018	2401.000	0.020	2401.000	0.036
2450.000	0.003	2450.000	0.018	2450.000	0.021	2450.000	0.037
2499.000	0.003	2499.000	0.018	2499.000	0.022	2499.000	0.037
2548.000	0.003	2548.000	0.018	2548.000	0.021	2548.000	0.038
2597.000	0.003	2597.000	0.018	2597.000	0.022	2597.000	0.038
2646.000	0.003	2646.000	0.019	2646.000	0.021	2646.000	0.038
2695.000	0.004	2695.000	0.019	2695.000	0.022	2695.000	0.038
