Batch	rate084.rre
Evolution 600	161008
Sample	Sample001
Data Mode	A
Smoothing	None
Date Collected	6/14/2010
Time Collected	10:59:06PM
Inhibitor Conc.	0.4693 mmol/L
Substrate Conc.	10.2121 mmol/L
ss.sss	Value
0.000	0.000
7.000	0.001
14.000	0.001
21.000	0.001
28.000	0.001
35.000	0.001
42.000	0.001
49.000	0.001
56.000	0.001
63.000	0.001
70.000	0.002
77.000	0.002
84.000	0.001
91.000	0.002
98.000	0.002
105.000	0.002
112.000	0.002
119.000	0.002
126.000	0.002
133.000	0.002
140.000	0.002
147.000	0.002
154.000	0.002
161.000	0.003
168.000	0.003
175.000	0.002
182.000	0.003
189.000	0.003
196.000	0.003
203.000	0.003
210.000	0.003
217.000	0.003
224.000	0.003
231.000	0.003
238.000	0.003
245.000	0.003
252.000	0.003
259.000	0.003
266.000	0.003
273.000	0.003
280.000	0.003
287.000	0.004
294.000	0.003
301.000	0.004
308.000	0.004
315.000	0.004
322.000	0.003
329.000	0.004
336.000	0.004
343.000	0.004
350.000	0.004
357.000	0.004
364.000	0.004
371.000	0.004
378.000	0.004
385.000	0.004
	
	
	
