Batch	rate078.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	6/10/2010	Date Collected	6/10/2010	Date Collected	6/10/2010	Date Collected	6/10/2010
Time Collected	3:57:02PM	Time Collected	3:57:09PM	Time Collected	3:57:17PM	Time Collected	3:57:24PM
							
Substrate Conc.	6.3251 mmol/L	Substrate Conc.	3.1626 mmol/L	Substrate Conc.	1.2650 mmol/L	Substrate Conc.	0.3163 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.013	0.000	0.008	0.000	0.002
31.000	0.001	31.000	0.012	31.000	0.008	31.000	0.001
62.000	0.001	62.000	0.012	62.000	0.007	62.000	-0.001
93.000	0.002	93.000	0.011	93.000	0.007	93.000	-0.002
124.000	0.002	124.000	0.012	124.000	0.007	124.000	-0.002
155.000	0.001	155.000	0.011	155.000	0.006	155.000	-0.002
186.000	0.001	186.000	0.011	186.000	0.007	186.000	-0.003
217.000	0.000	217.000	0.011	217.000	0.006	217.000	-0.005
248.000	0.000	248.000	0.012	248.000	0.006	248.000	-0.004
279.000	0.000	279.000	0.012	279.000	0.006	279.000	-0.005
310.000	0.000	310.000	0.012	310.000	0.006	310.000	-0.007
341.000	0.000	341.000	0.010	341.000	0.007	341.000	-0.007
372.000	0.000	372.000	0.010	372.000	0.007	372.000	-0.007
403.000	0.000	403.000	0.011	403.000	0.005	403.000	-0.010
434.000	-0.001	434.000	0.011	434.000	0.006	434.000	-0.010
465.000	-0.001	465.000	0.009	465.000	0.005	465.000	-0.008
496.000	0.000	496.000	0.009	496.000	0.006	496.000	-0.009
527.000	0.000	527.000	0.010	527.000	0.006	527.000	-0.011
558.000	0.000	558.000	0.010	558.000	0.007	558.000	-0.010
589.000	-0.001	589.000	0.008	589.000	0.008	589.000	-0.012
620.000	0.000	620.000	0.008	620.000	0.002	620.000	-0.012
651.000	0.000	651.000	0.008	651.000	0.002	651.000	-0.015
682.000	0.001	682.000	0.006	682.000	0.002	682.000	-0.017
713.000	0.001	713.000	0.006	713.000	0.003	713.000	-0.020
744.000	-0.005	744.000	0.007	744.000	0.003	744.000	-0.016
775.000	-0.004	775.000	0.004	775.000	0.000	775.000	-0.018
806.000	-0.004	806.000	0.004	806.000	-0.001	806.000	-0.018
837.000	-0.004	837.000	0.003	837.000	0.001	837.000	-0.012
868.000	-0.004	868.000	0.004	868.000	0.001	868.000	-0.012
899.000	-0.003	899.000	0.003	899.000	-0.002	899.000	-0.016
930.000	-0.003	930.000	0.001	930.000	-0.001	930.000	-0.016
961.000	-0.002	961.000	0.000	961.000	-0.001	961.000	-0.016
992.000	-0.001	992.000	0.000	992.000	-0.001	992.000	-0.014
1023.000	-0.007	1023.000	-0.001	1023.000	0.000	1023.000	-0.014
1054.000	-0.007	1054.000	-0.001	1054.000	0.001	1054.000	-0.015
1085.000	-0.006	1085.000	0.001	1085.000	-0.004	1085.000	-0.017
1116.000	-0.006	1116.000	-0.002	1116.000	-0.004	1116.000	-0.018
1147.000	-0.006	1147.000	-0.001	1147.000	-0.003	1147.000	-0.018
1178.000	-0.006	1178.000	-0.002	1178.000	-0.003	1178.000	-0.022
1209.000	-0.005	1209.000	-0.004	1209.000	-0.002	1209.000	-0.019
1240.000	-0.005	1240.000	-0.003	1240.000	-0.006	1240.000	-0.021
1271.000	-0.004	1271.000	-0.002	1271.000	-0.006	1271.000	-0.024
1302.000	-0.010	1302.000	-0.002	1302.000	-0.005	1302.000	-0.023
1333.000	-0.010	1333.000	-0.005	1333.000	-0.004	1333.000	-0.026
1364.000	-0.009	1364.000	-0.004	1364.000	-0.004	1364.000	-0.026
1395.000	-0.009	1395.000	-0.005	1395.000	-0.008	1395.000	-0.026
1426.000	-0.009	1426.000	-0.004	1426.000	-0.008	1426.000	-0.024
1457.000	-0.008	1457.000	-0.002	1457.000	-0.007	1457.000	-0.027
1488.000	-0.007	1488.000	-0.007	1488.000	-0.009	1488.000	-0.024
1519.000	-0.007	1519.000	-0.006	1519.000	-0.009	1519.000	-0.027
1550.000	-0.006	1550.000	-0.007	1550.000	-0.008	1550.000	-0.028
1581.000	-0.012	1581.000	-0.008	1581.000	-0.008	1581.000	-0.028
1612.000	-0.012	1612.000	-0.008	1612.000	-0.007	1612.000	-0.028
1643.000	-0.011	1643.000	-0.007	1643.000	-0.011	1643.000	-0.030
