Batch	rate059.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	6/5/2010	Date Collected	6/5/2010	Date Collected	6/5/2010	Date Collected	6/5/2010
Time Collected	1:40:04PM	Time Collected	1:40:10PM	Time Collected	2:03:02PM	Time Collected	1:40:24PM
Inhibitor Conc.	0.4693 mmol/L						
Substrate Conc.	0.5962 mmol/L	Substrate Conc.	2.9811 mmol/L	Substrate Conc.	5.3660 mmol/L	Substrate Conc.	7.7508 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.001	0.000	0.059	0.000	0.126	0.000	0.197
28.000	0.000	28.000	0.059	28.000	0.128	28.000	0.199
56.000	0.000	56.000	0.061	56.000	0.130	56.000	0.201
84.000	0.001	84.000	0.063	84.000	0.131	84.000	0.203
112.000	0.001	112.000	0.063	112.000	0.132	112.000	0.204
140.000	0.002	140.000	0.065	140.000	0.134	140.000	0.205
168.000	0.002	168.000	0.065	168.000	0.135	168.000	0.207
196.000	0.003	196.000	0.067	196.000	0.137	196.000	0.208
224.000	0.003	224.000	0.068	224.000	0.138	224.000	0.210
252.000	0.004	252.000	0.069	252.000	0.140	252.000	0.211
280.000	0.004	280.000	0.070	280.000	0.141	280.000	0.213
308.000	0.004	308.000	0.071	308.000	0.142	308.000	0.215
336.000	0.005	336.000	0.072	336.000	0.143	336.000	0.216
364.000	0.006	364.000	0.073	364.000	0.144	364.000	0.217
392.000	0.006	392.000	0.074	392.000	0.146	392.000	0.219
420.000	0.006	420.000	0.075	420.000	0.147	420.000	0.220
448.000	0.007	448.000	0.076	448.000	0.149	448.000	0.222
476.000	0.007	476.000	0.077	476.000	0.150	476.000	0.223
504.000	0.007	504.000	0.078	504.000	0.151	504.000	0.224
532.000	0.008	532.000	0.079	532.000	0.152	532.000	0.226
560.000	0.008	560.000	0.080	560.000	0.153	560.000	0.227
588.000	0.009	588.000	0.081	588.000	0.155	588.000	0.229
616.000	0.009	616.000	0.082	616.000	0.156	616.000	0.230
644.000	0.009	644.000	0.083	644.000	0.157	644.000	0.232
672.000	0.010	672.000	0.084	672.000	0.158	672.000	0.233
700.000	0.010	700.000	0.085	700.000	0.159	700.000	0.234
728.000	0.011	728.000	0.086	728.000	0.161	728.000	0.236
756.000	0.011	756.000	0.087	756.000	0.162	756.000	0.237
784.000	0.011	784.000	0.088	784.000	0.163	784.000	0.238
812.000	0.012	812.000	0.089	812.000	0.164	812.000	0.239
840.000	0.012	840.000	0.090	840.000	0.166	840.000	0.241
868.000	0.012	868.000	0.091	868.000	0.166	868.000	0.242
896.000	0.013	896.000	0.091	896.000	0.167	896.000	0.243
924.000	0.013	924.000	0.093	924.000	0.168	924.000	0.245
952.000	0.014	952.000	0.093	952.000	0.170	952.000	0.246
980.000	0.014	980.000	0.094	980.000	0.171	980.000	0.247
1008.000	0.014	1008.000	0.095	1008.000	0.172	1008.000	0.248
1036.000	0.014	1036.000	0.096	1036.000	0.173	1036.000	0.250
1064.000	0.015	1064.000	0.097	1064.000	0.174	1064.000	0.251
1092.000	0.015	1092.000	0.098	1092.000	0.175	1092.000	0.252
1120.000	0.015	1120.000	0.098	1120.000	0.176	1120.000	0.253
1148.000	0.016	1148.000	0.100	1148.000	0.178	1148.000	0.254
1176.000	0.016	1176.000	0.100	1176.000	0.179	1176.000	0.256
1204.000	0.017	1204.000	0.101	1204.000	0.180	1204.000	0.257
1232.000	0.017	1232.000	0.102	1232.000	0.181	1232.000	0.259
1260.000	0.017	1260.000	0.103	1260.000	0.182	1260.000	0.259
1288.000	0.017	1288.000	0.104	1288.000	0.183	1288.000	0.261
1316.000	0.017	1316.000	0.104				
							
							
							
