Batch	rate127.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	8/28/2010	Date Collected	8/28/2010	Date Collected	8/28/2010	Date Collected	8/28/2010
Time Collected	11:45:55PM	Time Collected	11:46:02PM	Time Collected	11:46:10PM	Time Collected	11:46:17PM
							
Substrate Conc.	102.0930 mmol/L	Substrate Conc.	102.0930 mmol/L	Substrate Conc.	1.2760 mmol/L	Substrate Conc.	1.2760 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	-0.001	0.000	-0.007	0.000	-0.016	0.000	-0.017
31.000	0.000	31.000	-0.007	31.000	-0.016	31.000	-0.017
62.000	0.000	62.000	-0.007	62.000	-0.016	62.000	-0.017
93.000	0.000	93.000	-0.007	93.000	-0.017	93.000	-0.017
124.000	0.000	124.000	-0.007	124.000	-0.016	124.000	-0.017
155.000	0.000	155.000	-0.007	155.000	-0.017	155.000	-0.017
186.000	0.000	186.000	-0.007	186.000	-0.017	186.000	-0.017
217.000	0.000	217.000	-0.007	217.000	-0.017	217.000	-0.017
248.000	0.000	248.000	-0.007	248.000	-0.017	248.000	-0.017
279.000	0.000	279.000	-0.007	279.000	-0.017	279.000	-0.017
310.000	0.000	310.000	-0.007	310.000	-0.017	310.000	-0.017
341.000	0.000	341.000	-0.007	341.000	-0.017	341.000	-0.017
372.000	0.000	372.000	-0.007	372.000	-0.016	372.000	-0.017
403.000	0.000	403.000	-0.007	403.000	-0.017	403.000	-0.017
434.000	0.000	434.000	-0.007	434.000	-0.017	434.000	-0.017
465.000	0.001	465.000	-0.007	465.000	-0.017	465.000	-0.017
496.000	0.000	496.000	-0.007	496.000	-0.017	496.000	-0.017
527.000	0.000	527.000	-0.007	527.000	-0.017	527.000	-0.017
558.000	0.001	558.000	-0.007	558.000	-0.017	558.000	-0.017
589.000	0.001	589.000	-0.007	589.000	-0.016	589.000	-0.017
620.000	0.001	620.000	-0.007	620.000	-0.017	620.000	-0.017
651.000	0.000	651.000	-0.007	651.000	-0.016	651.000	-0.017
682.000	0.001	682.000	-0.007	682.000	-0.016	682.000	-0.017
713.000	0.000	713.000	-0.007	713.000	-0.017	713.000	-0.017
744.000	0.001	744.000	-0.007	744.000	-0.016	744.000	-0.017
775.000	0.001	775.000	-0.006	775.000	-0.016	775.000	-0.017
806.000	0.001	806.000	-0.007	806.000	-0.016	806.000	-0.017
837.000	0.001	837.000	-0.006	837.000	-0.016	837.000	-0.017
868.000	0.001	868.000	-0.006	868.000	-0.016	868.000	-0.017
899.000	0.000	899.000	-0.006	899.000	-0.016	899.000	-0.017
930.000	0.001	930.000	-0.006	930.000	-0.017	930.000	-0.017
961.000	0.001	961.000	-0.007	961.000	-0.016	961.000	-0.017
992.000	0.001	992.000	-0.006	992.000	-0.016	992.000	-0.017
1023.000	0.001	1023.000	-0.006	1023.000	-0.016	1023.000	-0.016
1054.000	0.001	1054.000	-0.006	1054.000	-0.016	1054.000	-0.017
1085.000	0.001	1085.000	-0.006	1085.000	-0.016	1085.000	-0.017
1116.000	0.001	1116.000	-0.006	1116.000	-0.016	1116.000	-0.016
1147.000	0.002	1147.000	-0.006	1147.000	-0.016	1147.000	-0.017
1178.000	0.001	1178.000	-0.006	1178.000	-0.016	1178.000	-0.017
1209.000	0.001	1209.000	-0.006	1209.000	-0.016	1209.000	-0.016
1240.000	0.001	1240.000	-0.006	1240.000	-0.016	1240.000	-0.017
1271.000	0.001	1271.000	-0.006	1271.000	-0.016	1271.000	-0.017
1302.000	0.002	1302.000	-0.006	1302.000	-0.016	1302.000	-0.016
1333.000	0.003	1333.000	-0.005	1333.000	-0.016	1333.000	-0.017
1364.000	0.001	1364.000	-0.006	1364.000	-0.017	1364.000	-0.017
1395.000	0.001	1395.000	-0.006	1395.000	-0.016	1395.000	-0.016
1426.000	0.002	1426.000	-0.006	1426.000	-0.016	1426.000	-0.017
1457.000	0.001	1457.000	-0.005	1457.000	-0.016	1457.000	-0.017
1488.000	0.001	1488.000	-0.006	1488.000	-0.016	1488.000	-0.017
1519.000	0.001	1519.000	-0.005	1519.000	-0.016	1519.000	-0.016
1550.000	0.001	1550.000	-0.005	1550.000	-0.016	1550.000	-0.017
1581.000	0.002	1581.000	-0.005	1581.000	-0.016	1581.000	-0.017
1612.000	0.002	1612.000	-0.005	1612.000	-0.016	1612.000	-0.017
