Batch	rate128.rre								
Evolution 600	161008								
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	9/1/2010	Date Collected	9/1/2010	Date Collected	9/1/2010	Date Collected	9/1/2010	Date Collected	9/1/2010
Time Collected	3:57:26AM	Time Collected	6:23:55AM	Time Collected	3:57:41AM	Time Collected	3:57:49AM	Time Collected	3:57:56AM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.029	0.000	0.002	0.000	-0.023	0.000	-0.025	0.000	-0.029
39.000	0.032	39.000	-0.006	39.000	-0.023	39.000	-0.025	39.000	-0.029
78.000	0.031	78.000	-0.008	78.000	-0.024	78.000	-0.025	78.000	-0.029
117.000	0.031	117.000	-0.004	117.000	-0.024	117.000	-0.025	117.000	-0.029
156.000	0.031	156.000	-0.006	156.000	-0.023	156.000	-0.025	156.000	-0.029
195.000	0.031	195.000	-0.004	195.000	-0.025	195.000	-0.025	195.000	-0.029
234.000	0.031	234.000	-0.004	234.000	-0.025	234.000	-0.025	234.000	-0.029
273.000	0.032	273.000	-0.007	273.000	-0.022	273.000	-0.025	273.000	-0.029
312.000	0.031	312.000	-0.004	312.000	-0.023	312.000	-0.025	312.000	-0.029
351.000	0.031	351.000	-0.005	351.000	-0.024	351.000	-0.025	351.000	-0.029
390.000	0.032	390.000	-0.003	390.000	-0.024	390.000	-0.025	390.000	-0.029
429.000	0.032	429.000	-0.006	429.000	-0.023	429.000	-0.025	429.000	-0.029
468.000	0.031	468.000	-0.006	468.000	-0.023	468.000	-0.025	468.000	-0.029
507.000	0.032	507.000	-0.006	507.000	-0.024	507.000	-0.025	507.000	-0.029
546.000	0.032	546.000	-0.004	546.000	-0.023	546.000	-0.025	546.000	-0.029
585.000	0.032	585.000	-0.005	585.000	-0.027	585.000	-0.025	585.000	-0.029
624.000	0.032	624.000	-0.004	624.000	-0.028	624.000	-0.025	624.000	-0.029
663.000	0.031	663.000	-0.004	663.000	-0.027	663.000	-0.024	663.000	-0.028
702.000	0.030	702.000	-0.005	702.000	-0.028	702.000	-0.025	702.000	-0.029
741.000	0.032	741.000	-0.004	741.000	-0.027	741.000	-0.025	741.000	-0.029
780.000	0.031	780.000	-0.004	780.000	-0.028	780.000	-0.025	780.000	-0.029
819.000	0.033	819.000	-0.005	819.000	-0.027	819.000	-0.024	819.000	-0.029
858.000	0.032	858.000	-0.004	858.000	-0.028	858.000	-0.024	858.000	-0.029
897.000	0.031	897.000	-0.004	897.000	-0.027	897.000	-0.025	897.000	-0.029
936.000	0.031	936.000	-0.006	936.000	-0.027	936.000	-0.025	936.000	-0.029
975.000	0.031	975.000	-0.005	975.000	-0.026	975.000	-0.025	975.000	-0.029
1014.000	0.032	1014.000	-0.006	1014.000	-0.028	1014.000	-0.025	1014.000	-0.029
1053.000	0.032	1053.000	-0.005	1053.000	-0.027	1053.000	-0.024	1053.000	-0.029
1092.000	0.032	1092.000	-0.006	1092.000	-0.028	1092.000	-0.025	1092.000	-0.029
1131.000	0.033	1131.000	-0.006	1131.000	-0.027	1131.000	-0.025	1131.000	-0.029
1170.000	0.033	1170.000	-0.005	1170.000	-0.028	1170.000	-0.024	1170.000	-0.029
1209.000	0.033	1209.000	-0.006	1209.000	-0.028	1209.000	-0.025	1209.000	-0.029
1248.000	0.034	1248.000	-0.006	1248.000	-0.029	1248.000	-0.025	1248.000	-0.028
1287.000	0.033	1287.000	-0.007	1287.000	-0.027	1287.000	-0.025	1287.000	-0.029
1326.000	0.032	1326.000	-0.006	1326.000	-0.027	1326.000	-0.025	1326.000	-0.028
1365.000	0.032	1365.000	-0.006	1365.000	-0.027	1365.000	-0.025	1365.000	-0.028
1404.000	0.033	1404.000	-0.007	1404.000	-0.027	1404.000	-0.025	1404.000	-0.028
1443.000	0.032	1443.000	-0.005	1443.000	-0.027	1443.000	-0.024	1443.000	-0.028
1482.000	0.034	1482.000	-0.006	1482.000	-0.029	1482.000	-0.024	1482.000	-0.028
1521.000	0.032	1521.000	-0.007	1521.000	-0.026	1521.000	-0.025	1521.000	-0.028
1560.000	0.033	1560.000	-0.005	1560.000	-0.027	1560.000	-0.024	1560.000	-0.029
1599.000	0.034	1599.000	-0.006	1599.000	-0.028	1599.000	-0.024	1599.000	-0.028
1638.000	0.034	1638.000	-0.006	1638.000	-0.028	1638.000	-0.024	1638.000	-0.029
1677.000	0.034	1677.000	-0.006	1677.000	-0.027	1677.000	-0.024	1677.000	-0.029
1716.000	0.033	1716.000	-0.006	1716.000	-0.028	1716.000	-0.024	1716.000	-0.028
1755.000	0.035	1755.000	-0.006	1755.000	-0.027	1755.000	-0.024	1755.000	-0.028
1794.000	0.034	1794.000	-0.006	1794.000	-0.027	1794.000	-0.024	1794.000	-0.028
1833.000	0.034	1833.000	-0.006	1833.000	-0.028	1833.000	-0.024	1833.000	-0.028
1872.000	0.035	1872.000	-0.006	1872.000	-0.027	1872.000	-0.024	1872.000	-0.028
1911.000	0.034	1911.000	-0.006	1911.000	-0.028	1911.000	-0.024	1911.000	-0.028
1950.000	0.034	1950.000	-0.006	1950.000	-0.028	1950.000	-0.024	1950.000	-0.029
1989.000	0.035	1989.000	-0.006	1989.000	-0.028	1989.000	-0.024	1989.000	-0.028
2028.000	0.035	2028.000	-0.007	2028.000	-0.028	2028.000	-0.024	2028.000	-0.028
2067.000	0.033	2067.000	-0.009	2067.000	-0.027	2067.000	-0.025	2067.000	-0.028
2106.000	0.034	2106.000	-0.010	2106.000	-0.026	2106.000	-0.025	2106.000	-0.028
2145.000	0.035	2145.000	-0.011	2145.000	-0.028	2145.000	-0.024	2145.000	-0.028
2184.000	0.034	2184.000	-0.011	2184.000	-0.027	2184.000	-0.024	2184.000	-0.028
2223.000	0.035	2223.000	-0.010	2223.000	-0.026	2223.000	-0.024	2223.000	-0.028
2262.000	0.035	2262.000	-0.010	2262.000	-0.028	2262.000	-0.024	2262.000	-0.028
2301.000	0.035	2301.000	-0.009	2301.000	-0.027	2301.000	-0.024	2301.000	-0.028
2340.000	0.034	2340.000	-0.010	2340.000	-0.027	2340.000	-0.024	2340.000	-0.028
2379.000	0.035	2379.000	-0.011	2379.000	-0.027	2379.000	-0.024	2379.000	-0.029
2418.000	0.035	2418.000	-0.011	2418.000	-0.027	2418.000	-0.024	2418.000	-0.028
2457.000	0.035	2457.000	-0.009	2457.000	-0.027	2457.000	-0.024	2457.000	-0.028
2496.000	0.036	2496.000	-0.011	2496.000	-0.027	2496.000	-0.024	2496.000	-0.028
2535.000	0.036	2535.000	-0.010	2535.000	-0.027	2535.000	-0.024	2535.000	-0.028
