Batch	mads_t013.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/17/2010	Date Collected	4/17/2010	Date Collected	4/17/2010	Date Collected	4/17/2010
Time Collected	11:32:16PM	Time Collected	10:29:24PM	Time Collected	10:29:31PM	Time Collected	10:29:38PM
							
Substrate Conc.	1.8498 mmol/l	Substrate Conc.	3.6966 mmol/l	Substrate Conc.	5.5493 mmol/l	Substrate Conc.	7.3990 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	-0.001	0.000	0.013	0.000	0.015	0.000	0.022
49.000	0.002	49.000	0.016	49.000	0.017	49.000	0.026
98.000	0.004	98.000	0.019	98.000	0.019	98.000	0.029
147.000	0.006	147.000	0.022	147.000	0.021	147.000	0.033
196.000	0.009	196.000	0.024	196.000	0.023	196.000	0.036
245.000	0.012	245.000	0.027	245.000	0.026	245.000	0.040
294.000	0.015	294.000	0.030	294.000	0.028	294.000	0.043
343.000	0.019	343.000	0.031	343.000	0.032	343.000	0.047
392.000	0.022	392.000	0.032	392.000	0.035	392.000	0.046
441.000	0.026	441.000	0.037	441.000	0.039	441.000	0.050
490.000	0.031	490.000	0.037	490.000	0.042	490.000	0.053
539.000	0.032	539.000	0.040	539.000	0.046	539.000	0.056
588.000	0.036	588.000	0.038	588.000	0.051	588.000	0.061
637.000	0.041	637.000	0.041	637.000	0.055	637.000	0.060
686.000	0.046	686.000	0.044	686.000	0.058	686.000	0.063
735.000	0.051	735.000	0.035	735.000	0.063	735.000	0.066
784.000	0.056	784.000	0.037	784.000	0.068	784.000	0.070
833.000	0.061	833.000	0.039	833.000	0.073	833.000	0.073
882.000	0.054	882.000	0.042	882.000	0.078	882.000	0.076
931.000	0.040	931.000	0.042	931.000	0.084	931.000	0.080
980.000	0.043	980.000	0.044	980.000	0.088	980.000	0.084
1029.000	0.047	1029.000	0.048	1029.000	0.094	1029.000	0.088
1078.000	0.050	1078.000	0.052	1078.000	0.099	1078.000	0.092
1127.000	0.052	1127.000	0.052	1127.000	0.104	1127.000	0.096
1176.000	0.052	1176.000	0.056	1176.000	0.110	1176.000	0.101
1225.000	0.056	1225.000	0.061	1225.000	0.117	1225.000	0.105
1274.000	0.060	1274.000	0.062	1274.000	0.107	1274.000	0.109
1323.000	0.065	1323.000	0.048	1323.000	0.107	1323.000	0.114
1372.000	0.070	1372.000	0.051	1372.000	0.113	1372.000	0.118
1421.000	0.074	1421.000	0.052	1421.000	0.119	1421.000	0.123
1470.000	0.067	1470.000	0.054	1470.000	0.124	1470.000	0.128
1519.000	0.029	1519.000	0.057	1519.000	0.130	1519.000	0.133
1568.000	0.031	1568.000	0.058	1568.000	0.137	1568.000	0.138
1617.000	0.032	1617.000	0.061	1617.000	0.142	1617.000	0.144
1666.000	0.035	1666.000	0.064	1666.000	0.148	1666.000	0.148
1715.000	0.037	1715.000	0.065	1715.000	0.155	1715.000	0.155
1764.000	0.038	1764.000	0.067	1764.000	0.162	1764.000	0.161
1813.000	0.040	1813.000	0.071	1813.000	0.168	1813.000	0.166
1862.000	0.041	1862.000	0.072	1862.000	0.174	1862.000	0.172
1911.000	0.043	1911.000	0.075	1911.000	0.181	1911.000	0.178
1960.000	0.046	1960.000	0.079	1960.000	0.187	1960.000	0.184
2009.000	0.050	2009.000	0.080	2009.000	0.195	2009.000	0.191
2058.000	0.054	2058.000	0.084	2058.000	0.195	2058.000	0.197
2107.000	0.058	2107.000	0.088	2107.000	0.202	2107.000	0.202
2156.000	0.031	2156.000	0.090	2156.000	0.209	2156.000	0.209
2205.000	0.032	2205.000	0.093	2205.000	0.218	2205.000	0.216
2254.000	0.033	2254.000	0.097	2254.000	0.226	2254.000	0.224
2303.000	0.035	2303.000	0.098	2303.000	0.234	2303.000	0.230
2352.000	0.036	2352.000	0.103	2352.000	0.241	2352.000	0.237
2401.000	0.037	2401.000	0.107	2401.000	0.250	2401.000	0.244
2450.000	0.038	2450.000	0.108	2450.000	0.260	2450.000	0.252
2499.000	0.040	2499.000	0.112	2499.000	0.268	2499.000	0.258
2548.000	0.041	2548.000	0.116	2548.000	0.276	2548.000	0.266
2597.000	0.044	2597.000	0.120	2597.000	0.286	2597.000	0.274
2646.000	0.045	2646.000	0.123	2646.000	0.293	2646.000	0.282
2695.000	0.046	2695.000	0.126	2695.000	0.303	2695.000	0.290
