Batch	rate045.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	5/3/2010	Date Collected	5/3/2010	Date Collected	5/3/2010	Date Collected	5/3/2010
Time Collected	5:28:01PM	Time Collected	5:28:08PM	Time Collected	5:28:15PM	Time Collected	5:28:22PM
							
Substrate Conc.	1.5286 mmol/L	Substrate Conc.	3.0571 mmol/L	Substrate Conc.	4.5857 mmol/L	Substrate Conc.	6.1142 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.001	0.000	0.013	0.000	0.026	0.000	0.034
60.000	0.004	60.000	0.018	60.000	0.033	60.000	0.041
120.000	0.006	120.000	0.023	120.000	0.039	120.000	0.049
180.000	0.009	180.000	0.027	180.000	0.046	180.000	0.056
240.000	0.013	240.000	0.032	240.000	0.053	240.000	0.063
300.000	0.016	300.000	0.037	300.000	0.060	300.000	0.072
360.000	0.019	360.000	0.041	360.000	0.067	360.000	0.079
420.000	0.023	420.000	0.046	420.000	0.074	420.000	0.088
480.000	0.025	480.000	0.051	480.000	0.082	480.000	0.096
540.000	0.030	540.000	0.056	540.000	0.089	540.000	0.104
600.000	0.033	600.000	0.060	600.000	0.096	600.000	0.112
660.000	0.035	660.000	0.066	660.000	0.103	660.000	0.120
720.000	0.038	720.000	0.071	720.000	0.110	720.000	0.128
780.000	0.042	780.000	0.076	780.000	0.117	780.000	0.137
840.000	0.044	840.000	0.080	840.000	0.125	840.000	0.145
900.000	0.047	900.000	0.085	900.000	0.132	900.000	0.153
960.000	0.051	960.000	0.090	960.000	0.139	960.000	0.162
1020.000	0.054	1020.000	0.096	1020.000	0.147	1020.000	0.170
1080.000	0.057	1080.000	0.100	1080.000	0.154	1080.000	0.179
1140.000	0.059	1140.000	0.106	1140.000	0.162	1140.000	0.187
1200.000	0.064	1200.000	0.110	1200.000	0.170	1200.000	0.195
1260.000	0.069	1260.000	0.116	1260.000	0.177	1260.000	0.204
1320.000	0.069	1320.000	0.121	1320.000	0.185	1320.000	0.213
1380.000	0.073	1380.000	0.126	1380.000	0.192	1380.000	0.222
1440.000	0.078	1440.000	0.131	1440.000	0.201	1440.000	0.230
1500.000	0.078	1500.000	0.137	1500.000	0.209	1500.000	0.240
1560.000	0.084	1560.000	0.142	1560.000	0.217	1560.000	0.248
1620.000	0.085	1620.000	0.148	1620.000	0.226	1620.000	0.256
1680.000	0.089	1680.000	0.153	1680.000	0.235	1680.000	0.265
1740.000	0.095	1740.000	0.159	1740.000	0.242	1740.000	0.275
1800.000	0.095	1800.000	0.164	1800.000	0.252	1800.000	0.296
1860.000	0.099	1860.000	0.171	1860.000	0.261	1860.000	0.313
1920.000	0.104	1920.000	0.177	1920.000	0.271	1920.000	0.300
1980.000	0.105	1980.000	0.184	1980.000	0.281	1980.000	0.310
2040.000	0.109	2040.000	0.192	2040.000	0.294	2040.000	0.319
2100.000	0.113	2100.000	0.189	2100.000	0.293	2100.000	0.329
2160.000	0.115	2160.000	0.194	2160.000	0.302	2160.000	0.337
2220.000	0.118	2220.000	0.199	2220.000	0.311	2220.000	0.346
2280.000	0.123	2280.000	0.204	2280.000	0.320	2280.000	0.355
2340.000	0.124	2340.000	0.209	2340.000	0.318	2340.000	0.366
2400.000	0.128	2400.000	0.215	2400.000	0.326	2400.000	0.373
2460.000	0.130	2460.000	0.220	2460.000	0.336	2460.000	0.383
2520.000	0.134	2520.000	0.225	2520.000	0.345	2520.000	0.398
2580.000	0.138	2580.000	0.230	2580.000	0.354	2580.000	0.399
2640.000	0.143	2640.000	0.236	2640.000	0.363	2640.000	0.409
2700.000	0.143	2700.000	0.241	2700.000	0.372	2700.000	0.418
2760.000	0.152	2760.000	0.246	2760.000	0.381	2760.000	0.426
2820.000	0.159	2820.000	0.252	2820.000	0.390	2820.000	0.436
2880.000	0.165	2880.000	0.257	2880.000	0.401	2880.000	0.444
2940.000	0.180	2940.000	0.263	2940.000	0.411	2940.000	0.454
3000.000	0.167	3000.000	0.268	3000.000	0.421	3000.000	0.462
3060.000	0.162	3060.000	0.273	3060.000	0.440	3060.000	0.472
3120.000	0.167	3120.000	0.279	3120.000	0.452	3120.000	0.480
3180.000	0.171	3180.000	0.283	3180.000	0.467	3180.000	0.490
3240.000	0.172	3240.000	0.289	3240.000	0.479	3240.000	0.499
							
							
							
