Batch	rate073.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	6/8/2010	Date Collected	6/8/2010	Date Collected	6/8/2010	Date Collected	6/8/2010
Time Collected	9:36:12PM	Time Collected	8:50:44PM	Time Collected	8:50:51PM	Time Collected	8:50:58PM
							
Substrate Conc.	6.3251 mmol/L	Substrate Conc.	3.1626 mmol/L	Substrate Conc.	1.2650 mmol/L	Substrate Conc.	0.3163 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.001	0.000	0.002	0.000	-0.003	0.000	0.002
31.000	0.002	31.000	0.003	31.000	-0.002	31.000	0.002
62.000	0.001	62.000	0.003	62.000	-0.002	62.000	0.002
93.000	0.002	93.000	0.003	93.000	-0.003	93.000	0.002
124.000	0.002	124.000	0.003	124.000	-0.003	124.000	0.002
155.000	0.002	155.000	0.004	155.000	-0.002	155.000	0.002
186.000	0.002	186.000	0.005	186.000	-0.002	186.000	0.002
217.000	0.003	217.000	0.005	217.000	-0.002	217.000	0.001
248.000	0.002	248.000	0.005	248.000	-0.002	248.000	0.002
279.000	0.002	279.000	0.006	279.000	-0.001	279.000	0.002
310.000	0.003	310.000	0.006	310.000	-0.001	310.000	0.003
341.000	0.004	341.000	0.007	341.000	-0.001	341.000	0.002
372.000	0.004	372.000	0.007	372.000	0.000	372.000	0.002
403.000	0.004	403.000	0.007	403.000	0.000	403.000	0.003
434.000	0.005	434.000	0.007	434.000	0.000	434.000	0.003
465.000	0.005	465.000	0.008	465.000	0.000	465.000	0.003
496.000	0.005	496.000	0.008	496.000	0.000	496.000	0.003
527.000	0.005	527.000	0.008	527.000	0.001	527.000	0.003
558.000	0.006	558.000	0.008	558.000	0.001	558.000	0.003
589.000	0.006	589.000	0.009	589.000	0.001	589.000	0.003
620.000	0.006	620.000	0.009	620.000	0.001	620.000	0.003
651.000	0.007	651.000	0.009	651.000	0.002	651.000	0.003
682.000	0.007	682.000	0.009	682.000	0.002	682.000	0.002
713.000	0.007	713.000	0.009	713.000	0.002	713.000	0.003
744.000	0.007	744.000	0.010	744.000	0.002	744.000	0.003
775.000	0.007	775.000	0.010	775.000	0.002	775.000	0.003
806.000	0.008	806.000	0.010	806.000	0.003	806.000	0.003
837.000	0.008	837.000	0.011	837.000	0.003	837.000	0.003
868.000	0.008	868.000	0.011	868.000	0.003	868.000	0.003
899.000	0.009	899.000	0.011	899.000	0.003	899.000	0.004
930.000	0.009	930.000	0.011	930.000	0.003	930.000	0.003
961.000	0.009	961.000	0.011	961.000	0.004	961.000	0.004
992.000	0.009	992.000	0.012	992.000	0.003	992.000	0.004
1023.000	0.009	1023.000	0.012	1023.000	0.004	1023.000	0.004
1054.000	0.009	1054.000	0.012	1054.000	0.004	1054.000	0.004
1085.000	0.010	1085.000	0.012	1085.000	0.004	1085.000	0.004
1116.000	0.010	1116.000	0.013	1116.000	0.004	1116.000	0.004
1147.000	0.011	1147.000	0.013	1147.000	0.005	1147.000	0.004
1178.000	0.010	1178.000	0.013	1178.000	0.005	1178.000	0.005
1209.000	0.011	1209.000	0.013	1209.000	0.005	1209.000	0.005
1240.000	0.011	1240.000	0.013	1240.000	0.005	1240.000	0.004
1271.000	0.011	1271.000	0.014	1271.000	0.006	1271.000	0.005
1302.000	0.011	1302.000	0.014	1302.000	0.005	1302.000	0.005
1333.000	0.011	1333.000	0.014	1333.000	0.006	1333.000	0.005
1364.000	0.012	1364.000	0.014	1364.000	0.006	1364.000	0.005
1395.000	0.012	1395.000	0.015	1395.000	0.006	1395.000	0.005
1426.000	0.012	1426.000	0.015	1426.000	0.007	1426.000	0.006
1457.000	0.013	1457.000	0.015	1457.000	0.007	1457.000	0.005
1488.000	0.012	1488.000	0.015	1488.000	0.007	1488.000	0.005
1519.000	0.013	1519.000	0.015	1519.000	0.007	1519.000	0.006
1550.000	0.013	1550.000	0.016	1550.000	0.008	1550.000	0.005
1581.000	0.013	1581.000	0.016	1581.000	0.007	1581.000	0.006
1612.000	0.013	1612.000	0.016	1612.000	0.008	1612.000	0.006
1643.000	0.013	1643.000	0.016	1643.000	0.008	1643.000	0.006
1674.000	0.013	1674.000	0.016	1674.000	0.008	1674.000	0.006
1705.000	0.014	1705.000	0.017	1705.000	0.008	1705.000	0.006
1736.000	0.014	1736.000	0.017	1736.000	0.009	1736.000	0.006
