Batch	rate139.rre												
Evolution 600	161008												
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005	Sample	Sample006	Sample	Sample007
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010
Time Collected	4:56:15PM	Time Collected	3:39:17PM	Time Collected	3:39:25PM	Time Collected	3:39:32PM	Time Collected	3:39:39PM	Time Collected	3:39:47PM	Time Collected	3:39:54PM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	-0.016	0.000	-0.017	0.000	-0.015	0.000	0.001	0.000	-0.020	0.000	-0.017
60.000	-0.001	60.000	-0.016	60.000	-0.018	60.000	-0.015	60.000	0.001	60.000	-0.020	60.000	-0.017
120.000	0.000	120.000	-0.015	120.000	-0.016	120.000	-0.015	120.000	0.002	120.000	-0.020	120.000	-0.017
180.000	0.000	180.000	-0.015	180.000	-0.016	180.000	-0.015	180.000	0.002	180.000	-0.020	180.000	-0.016
240.000	0.000	240.000	-0.015	240.000	-0.017	240.000	-0.015	240.000	0.003	240.000	-0.019	240.000	-0.016
300.000	0.001	300.000	-0.015	300.000	-0.016	300.000	-0.015	300.000	0.003	300.000	-0.019	300.000	-0.016
360.000	0.001	360.000	-0.014	360.000	-0.015	360.000	-0.015	360.000	0.004	360.000	-0.019	360.000	-0.016
420.000	0.002	420.000	-0.014	420.000	-0.015	420.000	-0.014	420.000	0.004	420.000	-0.019	420.000	-0.016
480.000	0.002	480.000	-0.013	480.000	-0.014	480.000	-0.015	480.000	0.004	480.000	-0.018	480.000	-0.016
540.000	0.003	540.000	-0.013	540.000	-0.013	540.000	-0.014	540.000	0.004	540.000	-0.018	540.000	-0.016
600.000	0.004	600.000	-0.013	600.000	-0.012	600.000	-0.014	600.000	0.005	600.000	-0.018	600.000	-0.016
660.000	0.004	660.000	-0.012	660.000	-0.011	660.000	-0.015	660.000	0.006	660.000	-0.018	660.000	-0.016
720.000	0.005	720.000	-0.012	720.000	-0.010	720.000	-0.014	720.000	0.006	720.000	-0.018	720.000	-0.016
780.000	0.006	780.000	-0.011	780.000	-0.009	780.000	-0.014	780.000	0.006	780.000	-0.018	780.000	-0.016
840.000	0.006	840.000	-0.010	840.000	-0.008	840.000	-0.015	840.000	0.006	840.000	-0.018	840.000	-0.016
900.000	0.007	900.000	-0.009	900.000	-0.008	900.000	-0.014	900.000	0.007	900.000	-0.017	900.000	-0.015
960.000	0.008	960.000	-0.009	960.000	-0.008	960.000	-0.015	960.000	0.007	960.000	-0.017	960.000	-0.015
1020.000	0.008	1020.000	-0.008	1020.000	-0.007	1020.000	-0.014	1020.000	0.008	1020.000	-0.017	1020.000	-0.015
1080.000	0.009	1080.000	-0.007	1080.000	-0.006	1080.000	-0.015	1080.000	0.008	1080.000	-0.017	1080.000	-0.015
1140.000	0.010	1140.000	-0.006	1140.000	-0.005	1140.000	-0.014	1140.000	0.008	1140.000	-0.017	1140.000	-0.015
1200.000	0.010	1200.000	-0.006	1200.000	-0.003	1200.000	-0.014	1200.000	0.009	1200.000	-0.017	1200.000	-0.015
1260.000	0.011	1260.000	-0.004	1260.000	-0.003	1260.000	-0.014	1260.000	0.009	1260.000	-0.016	1260.000	-0.015
1320.000	0.012	1320.000	-0.004	1320.000	-0.002	1320.000	-0.014	1320.000	0.009	1320.000	-0.016	1320.000	-0.015
1380.000	0.013	1380.000	-0.002	1380.000	-0.001	1380.000	-0.014	1380.000	0.010	1380.000	-0.016	1380.000	-0.015
1440.000	0.013	1440.000	-0.001	1440.000	0.001	1440.000	-0.014	1440.000	0.010	1440.000	-0.016	1440.000	-0.014
1500.000	0.014	1500.000	0.000	1500.000	0.002	1500.000	-0.014	1500.000	0.010	1500.000	-0.016	1500.000	-0.015
1560.000	0.015	1560.000	0.002	1560.000	0.004	1560.000	-0.014	1560.000	0.011	1560.000	-0.016	1560.000	-0.015
1620.000	0.016	1620.000	0.003	1620.000	0.004	1620.000	-0.013	1620.000	0.011	1620.000	-0.016	1620.000	-0.014
1680.000	0.016	1680.000	0.004	1680.000	0.006	1680.000	-0.014	1680.000	0.011	1680.000	-0.016	1680.000	-0.014
1740.000	0.017	1740.000	0.004	1740.000	0.008	1740.000	-0.013	1740.000	0.012	1740.000	-0.015	1740.000	-0.014
1800.000	0.018	1800.000	0.006	1800.000	0.010	1800.000	-0.013	1800.000	0.012	1800.000	-0.015	1800.000	-0.015
1860.000	0.019	1860.000	0.007	1860.000	0.011	1860.000	-0.013	1860.000	0.013	1860.000	-0.015	1860.000	-0.014
1920.000	0.020	1920.000	0.008	1920.000	0.012	1920.000	-0.013	1920.000	0.013	1920.000	-0.015	1920.000	-0.014
1980.000	0.022	1980.000	0.010	1980.000	0.011	1980.000	-0.013	1980.000	0.013	1980.000	-0.015	1980.000	-0.014
2040.000	0.022	2040.000	0.009	2040.000	0.009	2040.000	-0.013	2040.000	0.013	2040.000	-0.015	2040.000	-0.014
2100.000	0.021	2100.000	0.010	2100.000	0.009	2100.000	-0.013	2100.000	0.014	2100.000	-0.015	2100.000	-0.014
2160.000	0.023	2160.000	0.011	2160.000	0.001	2160.000	-0.012	2160.000	0.014	2160.000	-0.015	2160.000	-0.014
2220.000	0.023	2220.000	0.011	2220.000	0.001	2220.000	-0.012	2220.000	0.014	2220.000	-0.015	2220.000	-0.014
2280.000	0.024	2280.000	0.012	2280.000	0.003	2280.000	-0.012	2280.000	0.015	2280.000	-0.015	2280.000	-0.014
2340.000	0.025	2340.000	0.014	2340.000	0.003	2340.000	-0.012	2340.000	0.015	2340.000	-0.015	2340.000	-0.014
2400.000	0.025	2400.000	0.015	2400.000	0.004	2400.000	-0.012	2400.000	0.015	2400.000	-0.014	2400.000	-0.014
2460.000	0.024	2460.000	0.011	2460.000	0.005	2460.000	-0.012	2460.000	0.015	2460.000	-0.014	2460.000	-0.014
2520.000	0.025	2520.000	0.012	2520.000	0.006	2520.000	-0.011	2520.000	0.016	2520.000	-0.014	2520.000	-0.013
2580.000	0.026	2580.000	0.013	2580.000	0.008	2580.000	-0.011	2580.000	0.016	2580.000	-0.014	2580.000	-0.013
2640.000	0.027	2640.000	0.015	2640.000	0.010	2640.000	-0.010	2640.000	0.016	2640.000	-0.014	2640.000	-0.013
2700.000	0.024	2700.000	0.016	2700.000	0.012	2700.000	-0.010	2700.000	0.017	2700.000	-0.014	2700.000	-0.013
2760.000	0.024	2760.000	0.017	2760.000	0.014	2760.000	-0.009	2760.000	0.017	2760.000	-0.014	2760.000	-0.013
2820.000	0.025	2820.000	0.019	2820.000	0.016	2820.000	-0.009	2820.000	0.017	2820.000	-0.014	2820.000	-0.013
2880.000	0.025	2880.000	0.020	2880.000	0.017	2880.000	-0.008	2880.000	0.017	2880.000	-0.014	2880.000	-0.013
2940.000	0.026	2940.000	0.022	2940.000	0.019	2940.000	-0.008	2940.000	0.018	2940.000	-0.013	2940.000	-0.013
3000.000	0.027	3000.000	0.024	3000.000	0.016	3000.000	-0.007	3000.000	0.018	3000.000	-0.013	3000.000	-0.013
3060.000	0.028	3060.000	0.026	3060.000	0.018	3060.000	-0.006	3060.000	0.018	3060.000	-0.013	3060.000	-0.013
3120.000	0.029	3120.000	0.027	3120.000	0.020	3120.000	-0.006	3120.000	0.019	3120.000	-0.013	3120.000	-0.013
3180.000	0.030	3180.000	0.030	3180.000	0.021	3180.000	-0.005	3180.000	0.019	3180.000	-0.013	3180.000	-0.013
3240.000	0.028	3240.000	0.032	3240.000	0.023	3240.000	-0.004	3240.000	0.019	3240.000	-0.013	3240.000	-0.013
3300.000	0.029	3300.000	0.033	3300.000	0.018	3300.000	-0.003	3300.000	0.019	3300.000	-0.012	3300.000	-0.013
3360.000	0.030	3360.000	0.033	3360.000	0.018	3360.000	-0.003	3360.000	0.020	3360.000	-0.013	3360.000	-0.013
3420.000	0.030	3420.000	0.030	3420.000	0.019	3420.000	-0.002	3420.000	0.020	3420.000	-0.012	3420.000	-0.013
3480.000	0.032	3480.000	0.032	3480.000	0.021	3480.000	-0.001	3480.000	0.020	3480.000	-0.012	3480.000	-0.013
