Batch	rate050.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	5/4/2010	Date Collected	5/4/2010	Date Collected	5/4/2010	Date Collected	5/4/2010
Time Collected	7:16:00PM	Time Collected	7:16:07PM	Time Collected	7:16:15PM	Time Collected	8:32:52PM
							
Substrate Conc.	2.0621 	Substrate Conc.	4.1243 	Substrate Conc.	6.1864 	Substrate Conc.	8.2486 
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	-0.004	0.000	0.001	0.000	0.001
60.000	-0.002	60.000	-0.005	60.000	0.000	60.000	-0.001
120.000	-0.004	120.000	-0.006	120.000	-0.003	120.000	-0.003
180.000	-0.005	180.000	-0.008	180.000	-0.004	180.000	-0.006
240.000	-0.007	240.000	-0.010	240.000	-0.006	240.000	-0.007
300.000	-0.009	300.000	-0.012	300.000	-0.008	300.000	-0.010
360.000	-0.010	360.000	-0.013	360.000	-0.010	360.000	-0.012
420.000	-0.012	420.000	-0.015	420.000	-0.012	420.000	-0.014
480.000	-0.013	480.000	-0.017	480.000	-0.013	480.000	-0.017
540.000	-0.014	540.000	-0.018	540.000	-0.015	540.000	-0.019
600.000	-0.016	600.000	-0.020	600.000	-0.017	600.000	-0.021
660.000	-0.018	660.000	-0.022	660.000	-0.018	660.000	-0.023
720.000	-0.019	720.000	-0.023	720.000	-0.021	720.000	-0.025
780.000	-0.021	780.000	-0.025	780.000	-0.022	780.000	-0.027
840.000	-0.022	840.000	-0.025	840.000	-0.024	840.000	-0.030
900.000	-0.024	900.000	-0.028	900.000	-0.024	900.000	-0.032
960.000	-0.025	960.000	-0.030	960.000	-0.027	960.000	-0.034
1020.000	-0.027	1020.000	-0.032	1020.000	-0.029	1020.000	-0.036
1080.000	-0.028	1080.000	-0.033	1080.000	-0.030	1080.000	-0.037
1140.000	-0.030	1140.000	-0.035	1140.000	-0.032	1140.000	-0.040
1200.000	-0.031	1200.000	-0.036	1200.000	-0.034	1200.000	-0.042
1260.000	-0.033	1260.000	-0.039	1260.000	-0.036	1260.000	-0.044
1320.000	-0.034	1320.000	-0.039	1320.000	-0.037	1320.000	-0.046
1380.000	-0.036	1380.000	-0.041	1380.000	-0.038	1380.000	-0.047
1440.000	-0.037	1440.000	-0.043	1440.000	-0.040	1440.000	-0.049
1500.000	-0.039	1500.000	-0.044	1500.000	-0.042	1500.000	-0.051
1560.000	-0.039	1560.000	-0.045	1560.000	-0.044	1560.000	-0.053
1620.000	-0.041	1620.000	-0.047	1620.000	-0.045	1620.000	-0.054
1680.000	-0.041	1680.000	-0.047	1680.000	-0.045	1680.000	-0.055
1740.000	-0.042	1740.000	-0.050	1740.000	-0.047	1740.000	-0.056
1800.000	-0.045	1800.000	-0.051	1800.000	-0.046	1800.000	-0.056
1860.000	-0.046	1860.000	-0.054	1860.000	-0.052	1860.000	-0.063
1920.000	-0.048	1920.000	-0.056	1920.000	-0.053	1920.000	-0.064
1980.000	-0.050	1980.000	-0.056	1980.000	-0.055	1980.000	-0.056
2040.000	-0.051	2040.000	-0.055	2040.000	-0.057	2040.000	-0.070
2100.000	-0.052	2100.000	-0.059	2100.000	-0.058	2100.000	-0.072
2160.000	-0.053	2160.000	-0.059	2160.000	-0.059	2160.000	-0.073
2220.000	-0.055	2220.000	-0.060	2220.000	-0.060	2220.000	-0.075
2280.000	-0.056	2280.000	-0.060	2280.000	-0.063	2280.000	-0.077
2340.000	-0.058	2340.000	-0.062	2340.000	-0.064	2340.000	-0.079
2400.000	-0.059	2400.000	-0.061	2400.000	-0.065	2400.000	-0.081
2460.000	-0.060	2460.000	-0.062	2460.000	-0.067	2460.000	-0.082
2520.000	-0.061	2520.000	-0.061	2520.000	-0.069	2520.000	-0.083
2580.000	-0.062	2580.000	-0.061	2580.000	-0.069	2580.000	-0.082
2640.000	-0.064	2640.000	-0.060	2640.000	-0.070	2640.000	-0.080
2700.000	-0.064	2700.000	-0.060	2700.000	-0.072	2700.000	-0.089
2760.000	-0.066	2760.000	-0.059	2760.000	-0.073	2760.000	-0.091
2820.000	-0.067	2820.000	-0.075	2820.000	-0.075	2820.000	-0.094
2880.000	-0.066	2880.000	-0.077	2880.000	-0.076	2880.000	-0.096
2940.000	-0.066	2940.000	-0.078	2940.000	-0.075	2940.000	-0.097
3000.000	-0.070	3000.000	-0.077	3000.000	-0.076	3000.000	-0.099
