Batch	rate140.rre												
Evolution 600	161008												
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005	Sample	Sample006	Sample	Sample007
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010	Date Collected	9/4/2010
Time Collected	7:43:10PM	Time Collected	7:43:17PM	Time Collected	7:43:25PM	Time Collected	8:47:40PM	Time Collected	7:43:39PM	Time Collected	7:43:47PM	Time Collected	7:43:54PM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	-0.010	0.000	-0.013	0.000	-0.014	0.000	-0.012	0.000	-0.016	0.000	-0.018
60.000	0.000	60.000	-0.010	60.000	-0.014	60.000	-0.015	60.000	-0.012	60.000	-0.015	60.000	-0.018
120.000	0.001	120.000	-0.010	120.000	-0.014	120.000	-0.016	120.000	-0.011	120.000	-0.015	120.000	-0.018
180.000	0.002	180.000	-0.009	180.000	-0.014	180.000	-0.016	180.000	-0.011	180.000	-0.014	180.000	-0.017
240.000	0.002	240.000	-0.008	240.000	-0.013	240.000	-0.016	240.000	-0.010	240.000	-0.014	240.000	-0.017
300.000	0.003	300.000	-0.007	300.000	-0.013	300.000	-0.016	300.000	-0.010	300.000	-0.014	300.000	-0.017
360.000	0.003	360.000	-0.006	360.000	-0.014	360.000	-0.015	360.000	-0.009	360.000	-0.014	360.000	-0.016
420.000	0.004	420.000	-0.004	420.000	-0.013	420.000	-0.015	420.000	-0.008	420.000	-0.013	420.000	-0.016
480.000	0.004	480.000	-0.002	480.000	-0.013	480.000	-0.014	480.000	-0.007	480.000	-0.013	480.000	-0.016
540.000	0.006	540.000	0.001	540.000	-0.012	540.000	-0.013	540.000	-0.007	540.000	-0.013	540.000	-0.016
600.000	0.006	600.000	0.003	600.000	-0.011	600.000	-0.012	600.000	-0.006	600.000	-0.012	600.000	-0.015
660.000	0.008	660.000	0.008	660.000	-0.012	660.000	-0.010	660.000	-0.006	660.000	-0.012	660.000	-0.015
720.000	0.009	720.000	0.011	720.000	-0.010	720.000	-0.008	720.000	-0.005	720.000	-0.011	720.000	-0.014
780.000	0.011	780.000	0.015	780.000	-0.008	780.000	-0.005	780.000	-0.005	780.000	-0.011	780.000	-0.014
840.000	0.013	840.000	0.020	840.000	-0.005	840.000	-0.002	840.000	-0.004	840.000	-0.011	840.000	-0.014
900.000	0.016	900.000	0.026	900.000	-0.002	900.000	0.001	900.000	-0.003	900.000	-0.010	900.000	-0.014
960.000	0.019	960.000	0.032	960.000	0.001	960.000	0.002	960.000	-0.002	960.000	-0.010	960.000	-0.014
1020.000	0.023	1020.000	0.030	1020.000	0.004	1020.000	0.006	1020.000	-0.002	1020.000	-0.010	1020.000	-0.014
1080.000	0.026	1080.000	0.030	1080.000	0.007	1080.000	0.010	1080.000	-0.001	1080.000	-0.010	1080.000	-0.014
1140.000	0.028	1140.000	0.031	1140.000	0.012	1140.000	0.014	1140.000	0.000	1140.000	-0.010	1140.000	-0.014
1200.000	0.032	1200.000	0.037	1200.000	0.018	1200.000	0.019	1200.000	0.001	1200.000	-0.009	1200.000	-0.013
1260.000	0.035	1260.000	0.044	1260.000	0.023	1260.000	0.024	1260.000	0.002	1260.000	-0.009	1260.000	-0.013
1320.000	0.036	1320.000	0.051	1320.000	0.029	1320.000	0.030	1320.000	0.003	1320.000	-0.009	1320.000	-0.013
1380.000	0.040	1380.000	0.057	1380.000	0.031	1380.000	0.036	1380.000	0.004	1380.000	-0.009	1380.000	-0.013
1440.000	0.045	1440.000	0.061	1440.000	0.037	1440.000	0.041	1440.000	0.005	1440.000	-0.009	1440.000	-0.012
1500.000	0.050	1500.000	0.063	1500.000	0.043	1500.000	0.030	1500.000	0.006	1500.000	-0.009	1500.000	-0.012
1560.000	0.055	1560.000	0.055	1560.000	0.050	1560.000	0.035	1560.000	0.007	1560.000	-0.009	1560.000	-0.012
1620.000	0.062	1620.000	0.060	1620.000	0.060	1620.000	0.040	1620.000	0.008	1620.000	-0.009	1620.000	-0.012
1680.000	0.059	1680.000	0.066	1680.000	0.063	1680.000	0.046	1680.000	0.009	1680.000	-0.008	1680.000	-0.012
1740.000	0.065	1740.000	0.071	1740.000	0.070	1740.000	0.052	1740.000	0.010	1740.000	-0.008	1740.000	-0.011
1800.000	0.059	1800.000	0.075	1800.000	0.078	1800.000	0.058	1800.000	0.011	1800.000	-0.008	1800.000	-0.011
1860.000	0.033	1860.000	0.079	1860.000	0.085	1860.000	0.064	1860.000	0.013	1860.000	-0.007	1860.000	-0.012
1920.000	0.037	1920.000	0.084	1920.000	0.093	1920.000	0.057	1920.000	0.014	1920.000	-0.007	1920.000	-0.011
1980.000	0.035	1980.000	0.089	1980.000	0.102	1980.000	0.063	1980.000	0.011	1980.000	-0.007	1980.000	-0.011
2040.000	0.040	2040.000	0.094	2040.000	0.111	2040.000	0.069	2040.000	0.012	2040.000	-0.007	2040.000	-0.011
2100.000	0.044	2100.000	0.098	2100.000	0.096	2100.000	0.048	2100.000	0.013	2100.000	-0.007	2100.000	-0.011
2160.000	0.049	2160.000	0.097	2160.000	0.104	2160.000	0.056	2160.000	0.014	2160.000	-0.007	2160.000	-0.011
2220.000	0.055	2220.000	0.088	2220.000	0.111	2220.000	0.062	2220.000	0.016	2220.000	-0.006	2220.000	-0.011
2280.000	0.060	2280.000	0.092	2280.000	0.118	2280.000	0.069	2280.000	0.017	2280.000	-0.006	2280.000	-0.011
2340.000	0.066	2340.000	0.097	2340.000	0.120	2340.000	0.073	2340.000	0.011	2340.000	-0.006	2340.000	-0.010
2400.000	0.073	2400.000	0.098	2400.000	0.126	2400.000	0.075	2400.000	0.012	2400.000	-0.006	2400.000	-0.010
2460.000	0.075	2460.000	0.084	2460.000	0.135	2460.000	0.081	2460.000	0.013	2460.000	-0.006	2460.000	-0.010
2520.000	0.063	2520.000	0.087	2520.000	0.142	2520.000	0.063	2520.000	0.013	2520.000	-0.006	2520.000	-0.010
2580.000	0.069	2580.000	0.089	2580.000	0.150	2580.000	0.069	2580.000	0.014	2580.000	-0.005	2580.000	-0.010
2640.000	0.074	2640.000	0.091	2640.000	0.116	2640.000	0.076	2640.000	0.015	2640.000	-0.005	2640.000	-0.010
2700.000	0.080	2700.000	0.094	2700.000	0.123	2700.000	0.083	2700.000	0.012	2700.000	-0.005	2700.000	-0.010
2760.000	0.074	2760.000	0.098	2760.000	0.108	2760.000	0.092	2760.000	0.013	2760.000	-0.005	2760.000	-0.010
2820.000	0.080	2820.000	0.104	2820.000	0.114	2820.000	0.099	2820.000	0.014	2820.000	-0.005	2820.000	-0.010
2880.000	0.084	2880.000	0.110	2880.000	0.121	2880.000	0.102	2880.000	0.015	2880.000	-0.005	2880.000	-0.010
2940.000	0.077	2940.000	0.114	2940.000	0.127	2940.000	0.083	2940.000	0.016	2940.000	-0.005	2940.000	-0.009
3000.000	0.083	3000.000	0.118	3000.000	0.134	3000.000	0.063	3000.000	0.017	3000.000	-0.004	3000.000	-0.009
3060.000	0.090	3060.000	0.123	3060.000	0.134	3060.000	0.062	3060.000	0.018	3060.000	-0.005	3060.000	-0.009
3120.000	0.094	3120.000	0.126	3120.000	0.143	3120.000	0.068	3120.000	0.020	3120.000	-0.004	3120.000	-0.009
3180.000	0.101	3180.000	0.130	3180.000	0.151	3180.000	0.066	3180.000	0.021	3180.000	-0.004	3180.000	-0.009
3240.000	0.107	3240.000	0.136	3240.000	0.161	3240.000	0.046	3240.000	0.022	3240.000	-0.004	3240.000	-0.009
3300.000	0.112	3300.000	0.139	3300.000	0.168	3300.000	0.048	3300.000	0.023	3300.000	-0.004	3300.000	-0.009
3360.000	0.112	3360.000	0.145	3360.000	0.178	3360.000	0.052	3360.000	0.024	3360.000	-0.004	3360.000	-0.009
3420.000	0.117	3420.000	0.152	3420.000	0.187	3420.000	0.044	3420.000	0.026	3420.000	-0.004	3420.000	-0.008
3480.000	0.092	3480.000	0.156	3480.000	0.188	3480.000	0.048	3480.000	0.027	3480.000	-0.004	3480.000	-0.009
3540.000	0.089	3540.000	0.163	3540.000	0.140	3540.000	0.055	3540.000	0.026	3540.000	-0.004	3540.000	-0.008
