Batch	rate146.rre												
Evolution 600	161008												
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005	Sample	Sample006	Sample	Sample007
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010
Time Collected	3:34:36AM	Time Collected	3:34:43AM	Time Collected	3:34:50AM	Time Collected	3:34:58AM	Time Collected	3:35:05AM	Time Collected	3:35:12AM	Time Collected	3:35:19AM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.000	0.000	0.001	0.000	-0.003	0.000	-0.002	0.000	-0.005	0.000	-0.006
60.000	0.001	60.000	0.000	60.000	0.001	60.000	-0.002	60.000	-0.001	60.000	-0.006	60.000	-0.006
120.000	0.001	120.000	0.000	120.000	0.001	120.000	-0.002	120.000	-0.001	120.000	-0.005	120.000	-0.005
180.000	0.002	180.000	0.001	180.000	0.001	180.000	-0.003	180.000	0.000	180.000	-0.005	180.000	-0.006
240.000	0.002	240.000	0.000	240.000	0.002	240.000	-0.002	240.000	0.001	240.000	-0.004	240.000	-0.005
300.000	0.002	300.000	0.001	300.000	0.002	300.000	-0.002	300.000	0.001	300.000	-0.004	300.000	-0.004
360.000	0.003	360.000	0.001	360.000	0.002	360.000	-0.002	360.000	0.001	360.000	-0.003	360.000	-0.005
420.000	0.004	420.000	0.001	420.000	0.002	420.000	-0.002	420.000	0.002	420.000	-0.003	420.000	-0.004
480.000	0.004	480.000	0.001	480.000	0.002	480.000	-0.002	480.000	0.002	480.000	-0.003	480.000	-0.004
540.000	0.005	540.000	0.002	540.000	0.002	540.000	-0.002	540.000	0.002	540.000	-0.003	540.000	-0.003
600.000	0.005	600.000	0.003	600.000	0.003	600.000	-0.002	600.000	0.002	600.000	-0.003	600.000	-0.004
660.000	0.006	660.000	0.003	660.000	0.003	660.000	-0.002	660.000	0.003	660.000	-0.003	660.000	-0.003
720.000	0.006	720.000	0.003	720.000	0.003	720.000	-0.002	720.000	0.003	720.000	-0.003	720.000	-0.003
780.000	0.007	780.000	0.004	780.000	0.004	780.000	-0.002	780.000	0.004	780.000	-0.002	780.000	-0.003
840.000	0.007	840.000	0.004	840.000	0.005	840.000	-0.002	840.000	0.003	840.000	-0.002	840.000	-0.002
900.000	0.007	900.000	0.005	900.000	0.005	900.000	-0.002	900.000	0.004	900.000	-0.002	900.000	-0.003
960.000	0.007	960.000	0.005	960.000	0.005	960.000	-0.002	960.000	0.004	960.000	-0.002	960.000	-0.002
1020.000	0.008	1020.000	0.006	1020.000	0.006	1020.000	-0.001	1020.000	0.004	1020.000	-0.001	1020.000	-0.002
1080.000	0.008	1080.000	0.007	1080.000	0.007	1080.000	-0.001	1080.000	0.004	1080.000	-0.001	1080.000	-0.002
1140.000	0.009	1140.000	0.007	1140.000	0.007	1140.000	-0.001	1140.000	0.005	1140.000	-0.001	1140.000	-0.002
1200.000	0.009	1200.000	0.008	1200.000	0.007	1200.000	-0.001	1200.000	0.005	1200.000	-0.001	1200.000	-0.002
1260.000	0.009	1260.000	0.009	1260.000	0.009	1260.000	-0.001	1260.000	0.005	1260.000	-0.001	1260.000	-0.002
1320.000	0.009	1320.000	0.009	1320.000	0.009	1320.000	-0.001	1320.000	0.006	1320.000	-0.001	1320.000	-0.002
1380.000	0.009	1380.000	0.010	1380.000	0.010	1380.000	-0.001	1380.000	0.006	1380.000	-0.001	1380.000	-0.002
1440.000	0.010	1440.000	0.011	1440.000	0.011	1440.000	-0.001	1440.000	0.006	1440.000	0.000	1440.000	-0.002
1500.000	0.010	1500.000	0.011	1500.000	0.011	1500.000	-0.001	1500.000	0.006	1500.000	0.000	1500.000	-0.002
1560.000	0.010	1560.000	0.012	1560.000	0.011	1560.000	-0.001	1560.000	0.007	1560.000	0.000	1560.000	-0.001
1620.000	0.011	1620.000	0.012	1620.000	0.012	1620.000	-0.001	1620.000	0.007	1620.000	0.000	1620.000	-0.001
1680.000	0.012	1680.000	0.013	1680.000	0.012	1680.000	-0.001	1680.000	0.007	1680.000	0.000	1680.000	-0.001
1740.000	0.011	1740.000	0.014	1740.000	0.013	1740.000	0.000	1740.000	0.007	1740.000	0.000	1740.000	-0.001
1800.000	0.012	1800.000	0.015	1800.000	0.014	1800.000	-0.001	1800.000	0.008	1800.000	0.001	1800.000	-0.001
1860.000	0.012	1860.000	0.016	1860.000	0.014	1860.000	-0.001	1860.000	0.008	1860.000	0.001	1860.000	-0.001
1920.000	0.012	1920.000	0.016	1920.000	0.015	1920.000	-0.001	1920.000	0.008	1920.000	0.001	1920.000	-0.001
1980.000	0.013	1980.000	0.017	1980.000	0.016	1980.000	-0.001	1980.000	0.008	1980.000	0.001	1980.000	0.000
2040.000	0.013	2040.000	0.018	2040.000	0.017	2040.000	-0.001	2040.000	0.008	2040.000	0.001	2040.000	0.000
2100.000	0.013	2100.000	0.019	2100.000	0.017	2100.000	0.000	2100.000	0.009	2100.000	0.001	2100.000	-0.001
2160.000	0.013	2160.000	0.020	2160.000	0.018	2160.000	-0.001	2160.000	0.009	2160.000	0.001	2160.000	-0.001
2220.000	0.014	2220.000	0.020	2220.000	0.019	2220.000	0.000	2220.000	0.009	2220.000	0.002	2220.000	0.000
2280.000	0.014	2280.000	0.021	2280.000	0.019	2280.000	-0.001	2280.000	0.009	2280.000	0.002	2280.000	0.000
2340.000	0.014	2340.000	0.022	2340.000	0.020	2340.000	0.000	2340.000	0.010	2340.000	0.002	2340.000	0.000
2400.000	0.015	2400.000	0.023	2400.000	0.021	2400.000	0.000	2400.000	0.010	2400.000	0.002	2400.000	0.000
2460.000	0.015	2460.000	0.023	2460.000	0.022	2460.000	0.000	2460.000	0.010	2460.000	0.002	2460.000	0.000
2520.000	0.016	2520.000	0.024	2520.000	0.023	2520.000	0.000	2520.000	0.010	2520.000	0.002	2520.000	0.000
2580.000	0.015	2580.000	0.025	2580.000	0.024	2580.000	0.000	2580.000	0.011	2580.000	0.002	2580.000	0.000
2640.000	0.016	2640.000	0.026	2640.000	0.025	2640.000	0.000	2640.000	0.011	2640.000	0.003	2640.000	0.000
2700.000	0.016	2700.000	0.027	2700.000	0.026	2700.000	0.000	2700.000	0.011	2700.000	0.003	2700.000	0.000
2760.000	0.016	2760.000	0.028	2760.000	0.026	2760.000	0.000	2760.000	0.011	2760.000	0.003	2760.000	0.000
2820.000	0.017	2820.000	0.029	2820.000	0.027	2820.000	0.000	2820.000	0.011	2820.000	0.003	2820.000	0.001
2880.000	0.016	2880.000	0.030	2880.000	0.028	2880.000	0.000	2880.000	0.011	2880.000	0.003	2880.000	0.001
2940.000	0.017	2940.000	0.031	2940.000	0.028	2940.000	0.000	2940.000	0.012	2940.000	0.003	2940.000	0.000
3000.000	0.017	3000.000	0.032	3000.000	0.029	3000.000	0.000	3000.000	0.012	3000.000	0.003	3000.000	0.001
3060.000	0.017	3060.000	0.033	3060.000	0.030	3060.000	0.000	3060.000	0.012	3060.000	0.003	3060.000	0.000
3120.000	0.018	3120.000	0.034	3120.000	0.030	3120.000	0.000	3120.000	0.012	3120.000	0.004	3120.000	0.001
3180.000	0.018	3180.000	0.034	3180.000	0.031	3180.000	0.000	3180.000	0.013	3180.000	0.004	3180.000	0.001
3240.000	0.018	3240.000	0.035	3240.000	0.032	3240.000	0.000	3240.000	0.013	3240.000	0.004	3240.000	0.001
3300.000	0.018	3300.000	0.036	3300.000	0.033	3300.000	0.000	3300.000	0.013	3300.000	0.004	3300.000	0.001
3360.000	0.019	3360.000	0.037	3360.000	0.033	3360.000	0.000	3360.000	0.013	3360.000	0.004	3360.000	0.001
3420.000	0.019	3420.000	0.038	3420.000	0.034	3420.000	0.000	3420.000	0.013	3420.000	0.004	3420.000	0.001
3480.000	0.020	3480.000	0.039	3480.000	0.035	3480.000	0.000	3480.000	0.014	3480.000	0.004	3480.000	0.001
3540.000	0.020	3540.000	0.040	3540.000	0.033	3540.000	0.000	3540.000	0.014	3540.000	0.005	3540.000	0.001
3600.000	0.020	3600.000	0.041	3600.000	0.033	3600.000	0.000	3600.000	0.014	3600.000	0.005	3600.000	0.001
