Batch	rate038.rre				
Evolution 600	161008				
Sample	Sample001	Sample	Sample002	Sample	Sample003
Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/28/2010	Date Collected	4/28/2010	Date Collected	4/28/2010
Time Collected	4:18:15PM	Time Collected	4:18:23PM	Time Collected	4:18:30PM
					
Substrate Conc.	0.1906 mmol/l	Substrate Conc.	0.3812 mmol/l	Substrate Conc.	0.5718 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.002	0.000	0.004	0.000	0.001
31.000	0.004	31.000	0.007	31.000	0.004
62.000	0.007	62.000	0.010	62.000	0.007
93.000	0.010	93.000	0.013	93.000	0.010
124.000	0.012	124.000	0.016	124.000	0.013
155.000	0.015	155.000	0.019	155.000	0.016
186.000	0.017	186.000	0.021	186.000	0.019
217.000	0.020	217.000	0.024	217.000	0.021
248.000	0.022	248.000	0.027	248.000	0.024
279.000	0.025	279.000	0.030	279.000	0.027
310.000	0.027	310.000	0.032	310.000	0.029
341.000	0.029	341.000	0.035	341.000	0.032
372.000	0.031	372.000	0.037	372.000	0.034
403.000	0.033	403.000	0.040	403.000	0.037
434.000	0.035	434.000	0.042	434.000	0.039
465.000	0.037	465.000	0.045	465.000	0.042
496.000	0.039	496.000	0.047	496.000	0.044
527.000	0.041	527.000	0.049	527.000	0.046
558.000	0.042	558.000	0.051	558.000	0.049
589.000	0.045	589.000	0.053	589.000	0.051
620.000	0.046	620.000	0.055	620.000	0.053
651.000	0.048	651.000	0.057	651.000	0.055
682.000	0.049	682.000	0.060	682.000	0.057
713.000	0.051	713.000	0.061	713.000	0.059
744.000	0.053	744.000	0.063	744.000	0.061
775.000	0.054	775.000	0.065	775.000	0.063
806.000	0.056	806.000	0.067	806.000	0.065
837.000	0.057	837.000	0.069	837.000	0.067
868.000	0.059	868.000	0.071	868.000	0.069
899.000	0.060	899.000	0.072	899.000	0.071
930.000	0.061	930.000	0.075	930.000	0.072
961.000	0.063	961.000	0.076	961.000	0.074
992.000	0.065	992.000	0.078	992.000	0.076
1023.000	0.066	1023.000	0.079	1023.000	0.078
1054.000	0.067	1054.000	0.081	1054.000	0.080
1085.000	0.069	1085.000	0.083	1085.000	0.081
1116.000	0.070	1116.000	0.084	1116.000	0.083
1147.000	0.071	1147.000	0.086	1147.000	0.085
1178.000	0.072	1178.000	0.088	1178.000	0.086
1209.000	0.073	1209.000	0.089	1209.000	0.088
1240.000	0.074	1240.000	0.091	1240.000	0.089
1271.000	0.076	1271.000	0.092	1271.000	0.091
1302.000	0.077	1302.000	0.093	1302.000	0.092
1333.000	0.078	1333.000	0.095	1333.000	0.094
1364.000	0.079	1364.000	0.096	1364.000	0.095
1395.000	0.080	1395.000	0.098	1395.000	0.097
1426.000	0.081	1426.000	0.099	1426.000	0.098
1457.000	0.083	1457.000	0.100	1457.000	0.100
1488.000	0.083	1488.000	0.101	1488.000	0.101
1519.000	0.085	1519.000	0.103	1519.000	0.103
1550.000	0.085	1550.000	0.104	1550.000	0.104
1581.000	0.086	1581.000	0.105	1581.000	0.106
1612.000	0.088	1612.000	0.107	1612.000	0.107
1643.000	0.088	1643.000	0.108	1643.000	0.108
1674.000	0.089	1674.000	0.109	1674.000	0.110
1705.000	0.090	1705.000	0.111	1705.000	0.111
1736.000	0.091	1736.000	0.112	1736.000	0.112
1767.000	0.092	1767.000	0.113	1767.000	0.114
1798.000	0.093	1798.000	0.114	1798.000	0.115
1829.000	0.094	1829.000	0.116	1829.000	0.116
1860.000	0.095	1860.000	0.116	1860.000	0.118
1891.000	0.096	1891.000	0.118	1891.000	0.119
1922.000	0.097	1922.000	0.119	1922.000	0.120
1953.000	0.098	1953.000	0.120	1953.000	0.122
1984.000	0.098	1984.000	0.121	1984.000	0.123
2015.000	0.099	2015.000	0.122	2015.000	0.124
2046.000	0.100	2046.000	0.123	2046.000	0.125
2077.000	0.101	2077.000	0.124	2077.000	0.126
2108.000	0.102	2108.000	0.125	2108.000	0.128
2139.000	0.103	2139.000	0.127	2139.000	0.129
2170.000	0.103	2170.000	0.128	2170.000	0.130
2201.000	0.104	2201.000	0.129	2201.000	0.131
2232.000	0.105	2232.000	0.130	2232.000	0.132
2263.000	0.106	2263.000	0.131	2263.000	0.134
2294.000	0.107	2294.000	0.132	2294.000	0.135
2325.000	0.107	2325.000	0.133	2325.000	0.136
2356.000	0.108	2356.000	0.134	2356.000	0.137
2387.000	0.109	2387.000	0.135	2387.000	0.138
2418.000	0.109	2418.000	0.136	2418.000	0.139
2449.000	0.110	2449.000	0.136	2449.000	0.140
2480.000	0.111	2480.000	0.138	2480.000	0.141
2511.000	0.112	2511.000	0.139	2511.000	0.143
2542.000	0.112	2542.000	0.140	2542.000	0.143
2573.000	0.113	2573.000	0.140	2573.000	0.144
2604.000	0.114	2604.000	0.141	2604.000	0.146
2635.000	0.115	2635.000	0.142	2635.000	0.146
2666.000	0.115	2666.000	0.144	2666.000	0.147
2697.000	0.116	2697.000	0.144	2697.000	0.149
2728.000	0.117	2728.000	0.145	2728.000	0.150
2759.000	0.117	2759.000	0.146	2759.000	0.150
2790.000	0.118	2790.000	0.147	2790.000	0.152
2821.000	0.118	2821.000	0.148	2821.000	0.153
2852.000	0.119	2852.000	0.149	2852.000	0.154
2883.000	0.120	2883.000	0.150	2883.000	0.155
2914.000	0.120	2914.000	0.151	2914.000	0.155
2945.000	0.121	2945.000	0.151	2945.000	0.156
2976.000	0.121	2976.000	0.152	2976.000	0.157
3007.000	0.122	3007.000	0.153	3007.000	0.158
3038.000	0.123	3038.000	0.154	3038.000	0.159
3069.000	0.123	3069.000	0.155	3069.000	0.160
3100.000	0.124	3100.000	0.156	3100.000	0.161
3131.000	0.124	3131.000	0.156	3131.000	0.162
3162.000	0.125	3162.000	0.157	3162.000	0.163
3193.000	0.126	3193.000	0.158	3193.000	0.164
3224.000	0.126	3224.000	0.158	3224.000	0.165
3255.000	0.127	3255.000	0.159	3255.000	0.166
3286.000	0.127	3286.000	0.160	3286.000	0.167
3317.000	0.128	3317.000	0.161	3317.000	0.167
3348.000	0.129	3348.000	0.162	3348.000	0.169
3379.000	0.129	3379.000	0.162	3379.000	0.169
3410.000	0.129	3410.000	0.163	3410.000	0.170
3441.000	0.130	3441.000	0.164	3441.000	0.171
3472.000	0.130	3472.000	0.165	3472.000	0.172
3503.000	0.131	3503.000	0.166	3503.000	0.172
3534.000	0.131	3534.000	0.166	3534.000	0.174
