Batch	rate044.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/30/2010	Date Collected	4/30/2010	Date Collected	4/30/2010	Date Collected	4/30/2010
Time Collected	9:05:12PM	Time Collected	9:05:20PM	Time Collected	9:05:27PM	Time Collected	9:05:35PM
							
Substrate Conc.	1.5286 mmol/L	Substrate Conc.	3.0571 mmol/L	Substrate Conc.	4.5857 mmol/L	Substrate Conc.	6.1142 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.010
60.000	0.001	60.000	0.003	60.000	0.004	60.000	0.015
120.000	0.003	120.000	0.006	120.000	0.008	120.000	0.020
180.000	0.004	180.000	0.009	180.000	0.013	180.000	0.026
240.000	0.006	240.000	0.013	240.000	0.017	240.000	0.032
300.000	0.007	300.000	0.015	300.000	0.021	300.000	0.038
360.000	0.010	360.000	0.019	360.000	0.026	360.000	0.045
420.000	0.012	420.000	0.022	420.000	0.031	420.000	0.049
480.000	0.013	480.000	0.026	480.000	0.035	480.000	0.057
540.000	0.017	540.000	0.030	540.000	0.040	540.000	0.065
600.000	0.019	600.000	0.035	600.000	0.044	600.000	0.069
660.000	0.023	660.000	0.041	660.000	0.052	660.000	0.077
720.000	0.019	720.000	0.041	720.000	0.057	720.000	0.086
780.000	0.022	780.000	0.047	780.000	0.060	780.000	0.089
840.000	0.024	840.000	0.049	840.000	0.065	840.000	0.095
900.000	0.027	900.000	0.054	900.000	0.072	900.000	0.100
960.000	0.026	960.000	0.055	960.000	0.074	960.000	0.110
1020.000	0.028	1020.000	0.059	1020.000	0.083	1020.000	0.114
1080.000	0.032	1080.000	0.064	1080.000	0.089	1080.000	0.122
1140.000	0.033	1140.000	0.065	1140.000	0.089	1140.000	0.126
1200.000	0.036	1200.000	0.071	1200.000	0.095	1200.000	0.137
1260.000	0.035	1260.000	0.075	1260.000	0.104	1260.000	0.141
1320.000	0.037	1320.000	0.075	1320.000	0.107	1320.000	0.149
1380.000	0.039	1380.000	0.081	1380.000	0.111	1380.000	0.155
1440.000	0.043	1440.000	0.087	1440.000	0.117	1440.000	0.163
1500.000	0.042	1500.000	0.088	1500.000	0.119	1500.000	0.168
1560.000	0.044	1560.000	0.094	1560.000	0.127	1560.000	0.177
1620.000	0.046	1620.000	0.103	1620.000	0.134	1620.000	0.182
1680.000	0.049	1680.000	0.119	1680.000	0.138	1680.000	0.191
1740.000	0.052	1740.000	0.104	1740.000	0.146	1740.000	0.196
1800.000	0.055	1800.000	0.109	1800.000	0.167	1800.000	0.204
1860.000	0.056	1860.000	0.113	1860.000	0.155	1860.000	0.211
1920.000	0.059	1920.000	0.119	1920.000	0.159	1920.000	0.219
1980.000	0.062	1980.000	0.126	1980.000	0.165	1980.000	0.225
2040.000	0.066	2040.000	0.133	2040.000	0.170	2040.000	0.237
2100.000	0.069	2100.000	0.140	2100.000	0.175	2100.000	0.247
2160.000	0.069	2160.000	0.141	2160.000	0.180	2160.000	0.251
2220.000	0.072	2220.000	0.147	2220.000	0.185	2220.000	0.263
2280.000	0.076	2280.000	0.153	2280.000	0.191	2280.000	0.268
2340.000	0.079	2340.000	0.159	2340.000	0.198	2340.000	0.281
2400.000	0.081	2400.000	0.167	2400.000	0.206	2400.000	0.294
2460.000	0.084	2460.000	0.175	2460.000	0.213	2460.000	0.302
2520.000	0.079	2520.000	0.182	2520.000	0.213	2520.000	0.313
2580.000	0.081	2580.000	0.181	2580.000	0.219	2580.000	0.328
2640.000	0.084	2640.000	0.183	2640.000	0.227	2640.000	0.361
2700.000	0.086	2700.000	0.167	2700.000	0.272	2700.000	0.342
2760.000	0.089	2760.000	0.172	2760.000	0.286	2760.000	0.356
2820.000	0.091	2820.000	0.178	2820.000	0.295	2820.000	0.373
2880.000	0.094	2880.000	0.178	2880.000	0.307	2880.000	0.381
2940.000	0.097	2940.000	0.183	2940.000	0.321	2940.000	0.417
3000.000	0.100	3000.000	0.189	3000.000	0.336	3000.000	0.450
3060.000	0.102	3060.000	0.194	3060.000	0.362	3060.000	0.371
3120.000	0.105	3120.000	0.200	3120.000	0.272	3120.000	0.379
3180.000	0.107	3180.000	0.199	3180.000	0.276	3180.000	0.393
3240.000	0.111	3240.000	0.204	3240.000	0.283	3240.000	0.380
3300.000	0.107	3300.000	0.208	3300.000	0.289	3300.000	0.384
