Batch	mads_t008.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/13/2010	Date Collected	4/13/2010	Date Collected	4/13/2010	Date Collected	4/13/2010
Time Collected	7:16:31PM	Time Collected	7:16:37PM	Time Collected	7:16:45PM	Time Collected	7:16:52PM
							
Substrate Conc.	1.5850 mmol/l	Substrate Conc.	3.1700 mmol/l	Substrate Conc.	4.7550 mmol/l	Substrate Conc.	6.3400 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.013	0.000	0.013	0.000	0.016
49.000	0.003	49.000	0.015	49.000	0.016	49.000	0.020
98.000	0.005	98.000	0.018	98.000	0.020	98.000	0.022
147.000	0.007	147.000	0.022	147.000	0.023	147.000	0.025
196.000	0.009	196.000	0.024	196.000	0.027	196.000	0.029
245.000	0.011	245.000	0.027	245.000	0.030	245.000	0.032
294.000	0.014	294.000	0.028	294.000	0.033	294.000	0.036
343.000	0.015	343.000	0.032	343.000	0.036	343.000	0.039
392.000	0.018	392.000	0.034	392.000	0.040	392.000	0.042
441.000	0.020	441.000	0.037	441.000	0.043	441.000	0.045
490.000	0.022	490.000	0.041	490.000	0.046	490.000	0.048
539.000	0.024	539.000	0.043	539.000	0.050	539.000	0.052
588.000	0.026	588.000	0.046	588.000	0.054	588.000	0.055
637.000	0.028	637.000	0.049	637.000	0.057	637.000	0.059
686.000	0.030	686.000	0.051	686.000	0.060	686.000	0.062
735.000	0.033	735.000	0.054	735.000	0.064	735.000	0.065
784.000	0.034	784.000	0.057	784.000	0.066	784.000	0.069
833.000	0.036	833.000	0.060	833.000	0.069	833.000	0.072
882.000	0.039	882.000	0.064	882.000	0.073	882.000	0.075
931.000	0.041	931.000	0.066	931.000	0.076	931.000	0.078
980.000	0.042	980.000	0.069	980.000	0.080	980.000	0.082
1029.000	0.044	1029.000	0.072	1029.000	0.083	1029.000	0.085
1078.000	0.046	1078.000	0.074	1078.000	0.086	1078.000	0.088
1127.000	0.049	1127.000	0.077	1127.000	0.089	1127.000	0.091
1176.000	0.051	1176.000	0.079	1176.000	0.091	1176.000	0.095
1225.000	0.052	1225.000	0.082	1225.000	0.095	1225.000	0.098
1274.000	0.056	1274.000	0.085	1274.000	0.098	1274.000	0.101
1323.000	0.058	1323.000	0.087	1323.000	0.101	1323.000	0.104
1372.000	0.060	1372.000	0.090	1372.000	0.104	1372.000	0.108
1421.000	0.061	1421.000	0.093	1421.000	0.107	1421.000	0.110
1470.000	0.063	1470.000	0.096	1470.000	0.111	1470.000	0.114
1519.000	0.065	1519.000	0.098	1519.000	0.114	1519.000	0.117
1568.000	0.068	1568.000	0.101	1568.000	0.117	1568.000	0.120
1617.000	0.070	1617.000	0.104	1617.000	0.119	1617.000	0.123
1666.000	0.071	1666.000	0.106	1666.000	0.123	1666.000	0.126
1715.000	0.073	1715.000	0.109	1715.000	0.126	1715.000	0.129
1764.000	0.075	1764.000	0.112	1764.000	0.129	1764.000	0.132
1813.000	0.077	1813.000	0.114	1813.000	0.131	1813.000	0.136
1862.000	0.080	1862.000	0.117	1862.000	0.135	1862.000	0.139
1911.000	0.081	1911.000	0.119	1911.000	0.137	1911.000	0.142
1960.000	0.083	1960.000	0.122	1960.000	0.141	1960.000	0.145
2009.000	0.085	2009.000	0.124	2009.000	0.143	2009.000	0.148
2058.000	0.086	2058.000	0.127	2058.000	0.146	2058.000	0.150
2107.000	0.088	2107.000	0.129	2107.000	0.149	2107.000	0.153
2156.000	0.091	2156.000	0.133	2156.000	0.152	2156.000	0.157
2205.000	0.092	2205.000	0.134	2205.000	0.154	2205.000	0.160
2254.000	0.095	2254.000	0.137	2254.000	0.157	2254.000	0.163
2303.000	0.096	2303.000	0.139	2303.000	0.161	2303.000	0.166
2352.000	0.098	2352.000	0.142	2352.000	0.163	2352.000	0.169
2401.000	0.100	2401.000	0.144	2401.000	0.165	2401.000	0.171
2450.000	0.102	2450.000	0.146	2450.000	0.168	2450.000	0.174
2499.000	0.104	2499.000	0.149	2499.000	0.171	2499.000	0.176
2548.000	0.105	2548.000	0.152	2548.000	0.173	2548.000	0.180
2597.000	0.108	2597.000	0.153	2597.000	0.178	2597.000	0.183
2646.000	0.110	2646.000	0.156	2646.000	0.179	2646.000	0.186
2695.000	0.111	2695.000	0.159	2695.000	0.181	2695.000	0.189
