experiment,sample,substrate,abs,e,buffer,pH,T,[enz],[h2o2],[sub]
146,1,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,35.244,10.816
146,2,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,35.244,3.028
146,3,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,35.244,0.865
146,4,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,35.244,0.216
146,5,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,24.964,10.816
146,6,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,14.685,10.816
146,7,BnOH,285,1.23,Pyrophosphate,8.66,25,0.021,5.14,10.816
62,1,BnOH,285,1.23,Boric,9.0,25,0.014,122.426,0.596
62,2,BnOH,285,1.23,Boric,9.0,25,0.014,122.426,2.981
62,3,BnOH,285,1.23,Boric,9.0,25,0.014,122.426,5.366
62,4,BnOH,285,1.23,Boric,9.0,25,0.014,122.426,7.751
65,1,BnOH,285,1.23,Boric,8.51,25,0.0,122.426,7.31
65,2,BnOH,285,1.23,Boric,8.51,25,0.0,122.426,3.655
65,3,BnOH,285,1.23,Boric,8.51,25,0.0,122.426,1.827
65,4,BnOH,285,1.23,Boric,8.51,25,0.0,122.426,0.365
150,1,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,35.244,10.816
150,2,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,35.244,3.028
150,3,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,35.244,0.865
150,4,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,35.244,0.216
150,5,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,24.964,10.816
150,6,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,14.685,10.816
150,7,BnOH,285,1.23,Pyrophosphate,6.26,25,0.021,5.14,10.816
52,1,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.0,82.5,0.048
52,2,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.0,82.5,0.095
52,3,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.0,82.5,0.143
52,4,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.0,82.5,0.191
83,1,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,14.313
83,2,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,11.45
83,3,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,9.542
83,4,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,6.361
43,1,4OMe-BnOH,300,7.53,Boric,9.5,25,0.27,82.5,1.529
43,2,4OMe-BnOH,300,7.53,Boric,9.5,25,0.27,82.5,3.057
43,3,4OMe-BnOH,300,7.53,Boric,9.5,25,0.27,82.5,4.586
43,4,4OMe-BnOH,300,7.53,Boric,9.5,25,0.27,82.5,6.114
18,1,4OMe-BnOH,300,7.53,Phosphate,7.0,20,0.273,82.5,1.85
18,2,4OMe-BnOH,300,7.53,Phosphate,7.0,20,0.273,82.5,3.7
18,3,4OMe-BnOH,300,7.53,Phosphate,7.0,20,0.273,82.5,5.549
18,4,4OMe-BnOH,300,7.53,Phosphate,7.0,20,0.273,82.5,7.399
61,1,BnOH,285,1.23,Boric,8.75,25,0.014,122.426,0.596
61,2,BnOH,285,1.23,Boric,8.75,25,0.014,122.426,2.981
61,3,BnOH,285,1.23,Boric,8.75,25,0.014,122.426,5.366
61,4,BnOH,285,1.23,Boric,8.75,25,0.014,122.426,7.751
31,1,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.0,82.5,0.095
31,2,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.0,82.5,0.191
31,3,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.0,82.5,0.286
31,4,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.0,82.5,0.381
57,1,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.14,82.5,0.469
57,2,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.14,82.5,0.939
57,3,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.14,82.5,1.877
57,4,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.14,82.5,3.754
20,1,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.241,82.5,1.85
20,2,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.241,82.5,3.7
20,3,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.241,82.5,5.549
20,4,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.241,82.5,7.399
39,1,4OMe-BnOH,300,7.53,Phosphate,6.97,40,0.0,82.5,0.095
39,2,4OMe-BnOH,300,7.53,Phosphate,6.97,40,0.0,82.5,0.191
39,3,4OMe-BnOH,300,7.53,Phosphate,6.97,40,0.0,82.5,0.286
39,4,4OMe-BnOH,300,7.53,Phosphate,6.97,40,0.0,82.5,0.381
11,1,4OMe-BnOH,300,7.53,Phosphate,5.64,25,0.273,82.5,1.85
11,2,4OMe-BnOH,300,7.53,Phosphate,5.64,25,0.273,82.5,3.7
11,3,4OMe-BnOH,300,7.53,Phosphate,5.64,25,0.273,82.5,5.549
11,4,4OMe-BnOH,300,7.53,Phosphate,5.64,25,0.273,82.5,7.399
34,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,8.251
34,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,8.251
