experiment,substrate,buffer,pH,T,has_enzyme,n_samples,abs_nm,e_declared,status,exclude_reason,accepted_deviations,accepted_deviation_reason,provenance,open_questions,xls_file,notes
2,4OMe-BnOH,Phosphate,6.71,25.0,True,4,285.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t002_t=25_pH=6.71_Phosphat_4OMe-BnOH_with_E.xls,
4,4OMe-BnOH,Phosphate,6.71,25.0,True,4,285.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t004_t=25_pH=6.71_Phosphat_4OMe-BnOH_with_E.xls,
5,4OMe-BnOH,Phosphate,6.71,25.0,True,4,285.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t005_t=25_pH=6.71_Phosphat_4OMe-BnOH_with_E.xls,
6,BnOH,Phosphate,6.71,25.0,False,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t006_t=25_pH=6.71_Phosphat_BnOH_no_E.xls,
7,4OMe-BnOH,Phosphate,6.71,25.0,True,4,285.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t007_t=25_pH=6.71_Phosphat_4OMe-BnOH_with_E.xls,
8,4OMe-BnOH,Phosphate,8.01,25.0,True,4,285.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t008_t=25_pH=8.01_Phosphat_4OMe-BnOH_with_E.xls,
9,4OMe-BnOH,Phosphate,5.67,25.0,True,4,285.0,7.53,use,,,,pH=extracted (disputed);T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"pH: filename says 5.64, extraction says 5.67 | abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t009_t=25_pH=5.64_Phosphat_4OMe-BnOH_with_E.xls,
10,4OMe-BnOH,Phosphate,5.87,25.0,True,4,285.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"abs_nm: sheet declares 285 nm but carries e = 7.53, the value used by every 300 nm sheet; exps 57/58 pair 285 nm with e = 1.59",mads_t010_t=25_pH=5.87_Phosphat_4OMe-BnOH_with_E.xls,
11,4OMe-BnOH,Phosphate,5.64,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t011_t=25_pH=5.64_Phosphat_4OMe-BnOH_with_E.xls,
12,4OMe-BnOH,Phosphate,8.95,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t012_t=25_pH=8.95_Phosphat_4OMe-BnOH_with_E.xls,
