Complexity,Loss,Equation
1,1.786669e-5,"0.013918361"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919408e-7,"(x0 * 3.6212928e-6) - -0.0030543937"
6,1.9726666e-7,"(sqrt(x0) * 0.00037989474) - 0.006460457"
7,1.8129579e-7,"((x0 - 0.0030586876) * -0.99999636) + x0"
8,1.570236e-7,"x0 * ((log(x0) * -1.163134e-6) - -1.4042796e-5)"
9,1.4754103e-7,"(x0 * ((x0 * -2.0124181e-10) - -4.823671e-6)) + 0.0015278087"
11,1.47478e-7,"(x0 * (((x0 * -2.434509e-10) / 1.1645384) - -4.874237e-6)) + 0.0014591286"
13,1.3839791e-7,"(x0 + -0.34606403) - (((x0 - 0.3487598) * x0) * (0.9999963 / x0))"
15,1.3425928e-7,"((x0 + -0.34606403) - (((x0 - 0.3487598) * x0) * (0.9999963 / x0))) * 1.0043006"
