Complexity,Loss,Equation
1,1.786669e-5,"0.01391876"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919407e-7,"(x0 * 3.6212928e-6) - -0.003054412"
6,1.9726666e-7,"(sqrt(x0) * 0.00037989474) + -0.006460457"
7,1.7324906e-7,"((x0 * 1.0000037) + 0.0027811155) - x0"
8,1.5702356e-7,"((log(x0) * -1.1628628e-6) + 1.4040595e-5) * x0"
10,1.5628864e-7,"((log(x0) * -1.0682554e-6) + 1.3204994e-5) * (x0 + 45.135803)"
12,1.4731593e-7,"x0 - ((x0 * ((log(x0) * 1.1557402e-6) + -1.397102e-5)) + x0)"
14,1.4192602e-7,"x0 - ((x0 + (x0 * ((log(x0) * 1.1145668e-6) + -2.2456925e-5))) * 1.0000088)"
15,1.2878351e-7,"x0 - ((x0 * ((log(sqrt(x0)) * 2.4012677e-6) + 0.011683413)) + (x0 * 0.98830223))"
