Complexity,Loss,Equation
1,1.786669e-5,"0.013918361"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.091941e-7,"(x0 * 3.6216024e-6) + 0.00305345"
6,1.9726664e-7,"(sqrt(x0) * 0.00037989582) + -0.006460515"
7,1.6066876e-7,"(x0 * 3.4886845e-5) / sqrt(sqrt(x0))"
8,1.5702379e-7,"((log(x0) * -1.1626463e-6) + 1.403885e-5) * x0"
9,1.5636643e-7,"(x0 * ((x0 * -1.9980947e-10) + 4.8775823e-6)) + 0.0012863195"
11,1.4746415e-7,"((x0 * 7.4298923e-6) * ((x0 * -2.7741014e-5) + 0.6538742)) + 0.0014762091"
12,1.4713513e-7,"(x0 + (((log(x0) * -1.1514479e-6) + 1.3940802e-5) * x0)) - x0"
13,1.4522351e-7,"x0 + ((((log(log(x0)) * -9.372591e-6) + 2.4214392e-5) * x0) - x0)"
15,1.3616939e-7,"((x0 + (x0 * ((log(log(x0)) * -5.64069e-6) + 1.4611925e-5))) - x0) * 1.6387912"
