Complexity,Loss,Equation
1,1.786669e-5,"0.013918361"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919407e-7,"0.0030541625 - (x0 * -3.6213548e-6)"
6,1.9726666e-7,"(sqrt(x0) * 0.00037989474) + -0.006460457"
7,1.6066876e-7,"(x0 * 3.4886845e-5) / sqrt(sqrt(x0))"
8,1.5702366e-7,"((log(x0) * -1.1627936e-6) + 1.4040096e-5) * x0"
9,1.5702341e-7,"((log(sqrt(x0)) * -2.3251855e-6) + 1.4038437e-5) * x0"
10,1.5644947e-7,"(((log(x0) * -1.0484378e-6) + 1.3012838e-5) * x0) + 0.00030965282"
12,1.4773038e-7,"(x0 + (x0 * ((log(x0) * -1.1773219e-6) + 1.4161885e-5))) - x0"
13,1.352728e-7,"((((x0 * -0.036226586) + x0) + -0.033350423) * -1.0375845) + (x0 - 0.031578194)"
15,1.3493903e-7,"((x0 - 0.031578194) + ((((x0 * -0.036226586) + x0) + -0.033350423) * -1.0375845)) * 1.0001305"
