Complexity,Loss,Equation
1,1.786669e-5,"0.013918361"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919408e-7,"(x0 * 3.6213548e-6) + 0.0030541515"
6,1.9726666e-7,"(sqrt(x0) * 0.00037989474) + -0.006460457"
7,1.6066876e-7,"(x0 * 3.4886845e-5) / sqrt(sqrt(x0))"
9,1.5933581e-7,"((3.5180226e-5 / sqrt(sqrt(x0))) * x0) + -0.00012751203"
10,1.5933576e-7,"((sqrt(sqrt(x0)) * 3.5179513e-5) * sqrt(x0)) + -0.00012722293"
11,1.5548716e-7,"((x0 / (sqrt(sqrt(x0)) + -3.5720632)) * 2.6610585e-5) + -0.0067198165"
13,1.55482e-7,"((x0 * 3.2749045e-5) / (sqrt(sqrt(x0 / 0.43648914)) + -4.429707)) + -0.0068865633"
15,1.5548055e-7,"(x0 * (3.2750828e-5 / (sqrt(sqrt((x0 + 0.43648914) / 0.43648914)) + -4.429707))) + -0.00688584"
