Complexity,Loss,Equation
1,1.786669e-5,"0.01391876"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919401e-7,"(x0 * 3.6214137e-6) + 0.0030541476"
6,1.9726666e-7,"(sqrt(x0) * 0.00037989474) + -0.006460457"
7,1.595918e-7,"3.3156026e-5 / exp(log(x0) / -1.3223201)"
9,1.5953908e-7,"3.3383203e-5 / exp(log(x0 + -3.9258385) / -1.3235947)"
10,1.594648e-7,"3.5342648e-5 / exp(log(x0 - sqrt(x0)) / -1.3334564)"
11,1.4746477e-7,"((((x0 * -4.2419186e-5) * x0) + x0) * 4.858183e-6) + 0.0014752152"
13,1.3985952e-7,"((x0 + (x0 * ((x0 * -5.6094867e-9) * x0))) * 4.3567356e-6) + 0.0017971683"
15,1.3947243e-7,"((x0 + (x0 * (((-5.5114406e-9 * x0) * x0) + -8.491551e-9))) * 4.321201e-6) + 0.0018853468"
