Complexity,Loss,Equation
1,1.786669e-5,"0.013918361"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919418e-7,"(x0 * 3.6214808e-6) - -0.0030537648"
6,1.9726666e-7,"(sqrt(x0) * 0.00037989474) + -0.006460457"
7,1.8129579e-7,"((x0 * -0.99999636) - -0.0030810689) + x0"
8,1.551613e-7,"(sqrt(x0 + 2266.666) * 0.0005198088) + -0.023569737"
10,1.5254116e-7,"(x0 * ((sqrt(x0) * -2.547749e-8) + 5.6968092e-6)) + 0.0012615521"
11,1.47464e-7,"((x0 * ((x0 * 5.82038e-6) - 0.13707364)) * -3.5451187e-5) + 0.0014748586"
12,1.4339268e-7,"((((x0 * 0.0005278162) - log(x0)) * -6.259598e-7) * x0) + 0.00215387"
14,1.4316497e-7,"(x0 * (((x0 * 0.0004850231) - (log(x0) + -0.44789314)) * -6.4677363e-7)) + 0.0023467175"
15,1.4238162e-7,"((x0 + (((x0 * 4.2815705e-6) - x0) - 0.11199363)) * (x0 * -4.198498e-5)) + 0.0016780561"
