Complexity,Loss,Equation
1,1.786669e-5,"0.013918361"
3,1.4229166e-6,"x0 * 4.5069482e-6"
5,2.0919408e-7,"(x0 * 3.6213548e-6) + 0.003054023"
6,1.9726664e-7,"(sqrt(x0) * 0.00037989582) + -0.006460515"
7,1.6066876e-7,"(x0 * 3.4886845e-5) / sqrt(sqrt(x0))"
8,1.5599427e-7,"((7.5226824e-5 / log(x0)) + -4.6789646e-6) * x0"
11,1.5041347e-7,"(sqrt(x0) * -0.9995284) + (sqrt(x0 + 0.45412487) - 0.015820315)"
12,1.4210714e-7,"(x0 * -0.39704788) + (x0 * ((7.5226824e-5 / log(x0)) + 0.3970432))"
14,1.407745e-7,"((0.3970432 + (7.5226824e-5 / log(0.7130035 + x0))) * x0) + (x0 * -0.39704788)"
15,1.2511799e-7,"x0 + ((sqrt(x0 + 0.4244109) - 0.014973146) + ((sqrt(x0) * -0.99953854) - x0))"
