Time,Value
0.0,0.006
49.0,0.006
98.0,0.006
147.0,0.007
196.0,0.007
245.0,0.008
294.0,0.008
343.0,0.008
392.0,0.008
441.0,0.009
490.0,0.008
539.0,0.009
588.0,0.009
637.0,0.01
686.0,0.009
735.0,0.009
784.0,0.009
833.0,0.01
882.0,0.009
931.0,0.01
980.0,0.009
1029.0,0.009
1078.0,0.009
1127.0,0.009
1176.0,0.01
1225.0,0.009
1274.0,0.009
1323.0,0.01
1372.0,0.01
1421.0,0.009
1470.0,0.009
1519.0,0.01
1568.0,0.01
1617.0,0.01
1666.0,0.009
1715.0,0.01
1764.0,0.01
1813.0,0.01
1862.0,0.01
1911.0,0.01
1960.0,0.01
2009.0,0.01
2058.0,0.01
2107.0,0.01
2156.0,0.01
2205.0,0.01
2254.0,0.01
2303.0,0.011
2352.0,0.009
2401.0,0.01
2450.0,0.011
2499.0,0.011
2548.0,0.01
2597.0,0.011
2646.0,0.01
2695.0,0.011
2744.0,0.011
2793.0,0.01
2842.0,0.01
2891.0,0.011
2940.0,0.011
2989.0,0.011
3038.0,0.011
3087.0,0.011
3136.0,0.011
3185.0,0.011
3234.0,0.011
3283.0,0.011
3332.0,0.011
3381.0,0.012
3430.0,0.012
3479.0,0.011
3528.0,0.012
3577.0,0.012
3626.0,0.012
3675.0,0.011
3724.0,0.011
3773.0,0.013
3822.0,0.012
3871.0,0.012
3920.0,0.012
3969.0,0.012
4018.0,0.013
4067.0,0.012
4116.0,0.012
4165.0,0.013
4214.0,0.012
4263.0,0.013
4312.0,0.012
4361.0,0.013
4410.0,0.013
4459.0,0.013
4508.0,0.013
4557.0,0.013
4606.0,0.013
4655.0,0.013
4704.0,0.013
4753.0,0.014
4802.0,0.013
4851.0,0.013
4900.0,0.013
4949.0,0.014
4998.0,0.014
5047.0,0.014
5096.0,0.014
5145.0,0.015
5194.0,0.014
5243.0,0.014
5292.0,0.015
5341.0,0.014
5390.0,0.015
5439.0,0.014
5488.0,0.015
5537.0,0.015
5586.0,0.016
5635.0,0.015
5684.0,0.015
5733.0,0.015
5782.0,0.016
5831.0,0.015
5880.0,0.015
5929.0,0.015
5978.0,0.016
6027.0,0.016
6076.0,0.017
6125.0,0.016
6174.0,0.016
6223.0,0.016
6272.0,0.016
6321.0,0.017
6370.0,0.016
6419.0,0.017
6468.0,0.017
6517.0,0.017
6566.0,0.016
6615.0,0.016
6664.0,0.018
6713.0,0.017
6762.0,0.017
6811.0,0.018
6860.0,0.017
6909.0,0.017
6958.0,0.018
7007.0,0.018
7056.0,0.017
7105.0,0.017
7154.0,0.018
7203.0,0.018
7252.0,0.018
7301.0,0.018
7350.0,0.018
7399.0,0.018
7448.0,0.018
7497.0,0.018
7546.0,0.018
7595.0,0.019
7644.0,0.019
7693.0,0.018
7742.0,0.02
7791.0,0.018
7840.0,0.018
7889.0,0.019
7938.0,0.019
7987.0,0.019
8036.0,0.019
8085.0,0.02
8134.0,0.019
8183.0,0.02
8232.0,0.019
8281.0,0.019
8330.0,0.02
8379.0,0.019
8428.0,0.021
8477.0,0.02
8526.0,0.02
8575.0,0.02
8624.0,0.02
8673.0,0.02
8722.0,0.02
8771.0,0.021
8820.0,0.02
8869.0,0.02
8918.0,0.021
8967.0,0.021
9016.0,0.021
9065.0,0.021
9114.0,0.021
9163.0,0.021
9212.0,0.021
9261.0,0.022
9310.0,0.021
9359.0,0.021
9408.0,0.021
9457.0,0.022
9506.0,0.022
9555.0,0.021
9604.0,0.022
9653.0,0.022
9702.0,0.022
9751.0,0.022
9800.0,0.022
9849.0,0.022
9898.0,0.022
9947.0,0.023
9996.0,0.022
10045.0,0.022
10094.0,0.022
10143.0,0.023
10192.0,0.023
10241.0,0.023
10290.0,0.023
10339.0,0.023
10388.0,0.022
10437.0,0.023
10486.0,0.024
10535.0,0.024
10584.0,0.024
10633.0,0.024
10682.0,0.024
10731.0,0.024
10780.0,0.025
10829.0,0.024
10878.0,0.024
10927.0,0.024
10976.0,0.024
11025.0,0.024
11074.0,0.025
11123.0,0.025
11172.0,0.025
11221.0,0.025
11270.0,0.025
11319.0,0.025
11368.0,0.025
11417.0,0.024
11466.0,0.025
11515.0,0.026
11564.0,0.026
11613.0,0.026
11662.0,0.025
11711.0,0.026
11760.0,0.026
11809.0,0.027
11858.0,0.026
11907.0,0.026
11956.0,0.025
12005.0,0.026
12054.0,0.026
12103.0,0.027
12152.0,0.026
12201.0,0.027
12250.0,0.027
12299.0,0.027
12348.0,0.027
12397.0,0.028
12446.0,0.027
12495.0,0.027
12544.0,0.028
12593.0,0.027
12642.0,0.027
12691.0,0.029
12740.0,0.029
12789.0,0.028
12838.0,0.028
12887.0,0.029
12936.0,0.028
12985.0,0.028
13034.0,0.028
13083.0,0.029
13132.0,0.029
13181.0,0.029
13230.0,0.029
13279.0,0.029
13328.0,0.029
13377.0,0.029
13426.0,0.03
13475.0,0.03
13524.0,0.03
13573.0,0.029
13622.0,0.03
13671.0,0.03
13720.0,0.031
13769.0,0.03
13818.0,0.03
13867.0,0.031
13916.0,0.03
13965.0,0.031
14014.0,0.031
14063.0,0.03
14112.0,0.031
14161.0,0.031
14210.0,0.031
14259.0,0.031
14308.0,0.032
14357.0,0.031
14406.0,0.031
14455.0,0.032
14504.0,0.032
14553.0,0.033
14602.0,0.032
14651.0,0.033
14700.0,0.032
14749.0,0.032
14798.0,0.033
14847.0,0.033
14896.0,0.032
14945.0,0.032
14994.0,0.033
15043.0,0.033
15092.0,0.033
15141.0,0.033
15190.0,0.033
15239.0,0.033
15288.0,0.033
15337.0,0.033
15386.0,0.034
15435.0,0.034
15484.0,0.034
15533.0,0.034
15582.0,0.034
15631.0,0.034
15680.0,0.034
15729.0,0.035
15778.0,0.035
15827.0,0.035
15876.0,0.034
15925.0,0.034
15974.0,0.035
16023.0,0.035
16072.0,0.036
16121.0,0.036
16170.0,0.036
16219.0,0.036
16268.0,0.036
16317.0,0.036
16366.0,0.036
16415.0,0.036
16464.0,0.036
16513.0,0.036
16562.0,0.036
16611.0,0.036
16660.0,0.036
16709.0,0.036
16758.0,0.037
16807.0,0.037
16856.0,0.037
16905.0,0.038
16954.0,0.037
17003.0,0.038
17052.0,0.037
17101.0,0.038
17150.0,0.037
17199.0,0.038
17248.0,0.039
17297.0,0.038
17346.0,0.038
17395.0,0.038
17444.0,0.038
17493.0,0.038
17542.0,0.039
17591.0,0.039
17640.0,0.038
17689.0,0.039
17738.0,0.039
17787.0,0.039
17836.0,0.039
17885.0,0.039
17934.0,0.04
17983.0,0.04
