wavel.	cross section	uncertainty

285	2.12e-18	1.0e-20
290	9.01e-20	6.0e-22
295	4.61e-20	9.0e-22
300	3.85e-20	1.6e-21
305	5.18e-20	7.0e-22
310	4.50e-20	5.0e-22
315	6.06e-20	4.2e-21
320	5.71e-20	3.2e-21
325	5.98e-20	6.0e-22
330	7.23e-20	5.1e-21
335	6.03e-20	7.0e-22
340	6.94e-20	8.0e-22
345	5.71e-20	1.2e-21
350	3.65e-20	1.1e-21
355	4.60e-20	4.0e-22
360	6.95e-20	1.8e-21
365	5.96e-20	1.5e-21
370	1.30e-20	2.0e-22
375	4.28e-21	5.0e-23
380	7.36e-22	4.0e-24
385	2.36e-22	4.0e-24
390	1.02e-22	4.0e-24
395	2.46e-22	1.0e-24
400	7.06e-23	4.8e-24
